TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC,PSAL,PSAL_QC,CNDC,CNDC_QC,SSJT,SSJT_QC
2023-02-03 09:24:30,0,1.0,42.8285,6.06528,1.0,b'2429101902                      ',b'FGTO',2.0,14.227,1.0,0.005,2.0,0.0,0.0,9.997,0.0
2023-02-03 09:26:06,0,1.0,42.82428,6.06728,1.0,b'2429101903                      ',b'FGTO',2.0,14.211,1.0,0.005,2.0,0.0,0.0,10.032,0.0
2023-02-03 09:28:12,0,1.0,42.81877,6.06998,1.0,b'2429101904                      ',b'FGTO',2.0,14.18,1.0,-1.0,4.0,0.0,0.0,10.15,0.0
2023-02-03 09:30:12,0,1.0,42.81377,6.07322,1.0,b'2429101905                      ',b'FGTO',2.0,14.14,1.0,-1.0,4.0,0.0,0.0,10.236,0.0
2023-02-03 09:32:12,0,1.0,42.80875,6.07635,1.0,b'2429101906                      ',b'FGTO',2.0,14.081,1.0,-1.0,4.0,0.0,0.0,10.244,0.0
2023-02-03 09:34:12,0,1.0,42.8039,6.07948,1.0,b'2429101907                      ',b'FGTO',2.0,13.966,1.0,-1.0,4.0,0.0,0.0,10.467,0.0
2023-02-03 09:38:12,0,1.0,42.80005,6.08108,1.0,b'2429101908                      ',b'FGTO',2.0,13.8,1.0,38.052,1.0,4.507,0.0,13.893,0.0
2023-02-03 09:40:12,0,1.0,42.79975,6.08027,1.0,b'2429101909                      ',b'FGTO',2.0,13.796,1.0,38.243,1.0,4.528,0.0,13.901,0.0
2023-02-03 09:42:48,0,1.0,42.7997,6.0795,1.0,b'2429101910                      ',b'FGTO',2.0,13.798,1.0,38.251,1.0,4.53,0.0,13.907,0.0
2023-02-03 09:43:48,0,1.0,42.79967,6.07927,1.0,b'2429101911                      ',b'FGTO',2.0,13.798,1.0,38.251,1.0,4.53,0.0,13.909,0.0
2023-02-03 09:46:18,0,1.0,42.79967,6.07855,1.0,b'2429101912                      ',b'FGTO',2.0,13.798,1.0,38.25,1.0,4.53,0.0,13.91,0.0
2023-02-03 09:48:48,0,1.0,42.79972,6.0778,1.0,b'2429101913                      ',b'FGTO',2.0,13.801,1.0,38.248,1.0,4.53,0.0,13.915,0.0
2023-02-03 09:50:54,0,1.0,42.79968,6.0773,1.0,b'2429101914                      ',b'FGTO',2.0,13.805,1.0,38.247,1.0,4.531,0.0,13.92,0.0
2023-02-03 09:52:42,0,1.0,42.79958,6.07692,1.0,b'2429101915                      ',b'FGTO',2.0,13.806,1.0,38.247,1.0,4.531,0.0,13.921,0.0
2023-02-03 09:54:42,0,1.0,42.7995,6.07643,1.0,b'2429101916                      ',b'FGTO',2.0,13.809,1.0,38.248,1.0,4.531,0.0,13.924,0.0
2023-02-03 09:56:06,0,1.0,42.79942,6.07605,1.0,b'2429101917                      ',b'FGTO',2.0,13.809,1.0,38.248,1.0,4.531,0.0,13.924,0.0
