TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC,PSAL,PSAL_QC,CNDC,CNDC_QC,SSJT,SSJT_QC
2023-02-16 06:01:55,0,1.0,48.36507,-4.49295,1.0,b'2437131586                      ',b'FQBE',2.0,10.291,1.0,33.778,2.0,3.738,0.0,10.53,0.0
2023-02-16 06:03:07,0,1.0,48.36372,-4.49743,1.0,b'2437131587                      ',b'FQBE',2.0,10.277,1.0,33.81,2.0,3.741,0.0,10.527,0.0
2023-02-16 06:05:55,0,1.0,48.36058,-4.5077,1.0,b'2437131588                      ',b'FQBE',2.0,10.253,1.0,33.782,2.0,3.735,0.0,10.492,0.0
2023-02-16 06:07:13,0,1.0,48.35915,-4.51245,1.0,b'2437131589                      ',b'FQBE',2.0,10.253,1.0,33.865,2.0,3.743,0.0,10.493,0.0
2023-02-16 06:09:13,0,1.0,48.35703,-4.51978,1.0,b'2437131590                      ',b'FQBE',2.0,10.265,1.0,33.94,2.0,3.752,0.0,10.503,0.0
2023-02-16 06:11:13,0,1.0,48.35495,-4.52712,1.0,b'2437131591                      ',b'FQBE',2.0,10.282,1.0,34.009,2.0,3.76,0.0,10.516,0.0
2023-02-16 06:13:13,0,1.0,48.35293,-4.53467,1.0,b'2437131592                      ',b'FQBE',2.0,10.283,1.0,34.085,2.0,3.768,0.0,10.519,0.0
2023-02-16 06:15:01,0,1.0,48.35103,-4.54157,1.0,b'2437131593                      ',b'FQBE',2.0,10.301,1.0,34.192,2.0,3.78,0.0,10.535,0.0
2023-02-16 06:16:31,0,1.0,48.34938,-4.54725,1.0,b'2437131594                      ',b'FQBE',2.0,10.302,1.0,34.239,2.0,3.785,0.0,10.541,0.0
2023-02-16 06:19:19,0,1.0,48.34657,-4.55758,1.0,b'2437131595                      ',b'FQBE',2.0,10.292,1.0,34.177,2.0,3.778,0.0,10.534,0.0
2023-02-16 06:20:19,0,1.0,48.34555,-4.5612,1.0,b'2437131596                      ',b'FQBE',2.0,10.288,1.0,34.118,2.0,3.772,0.0,10.529,0.0
2023-02-16 06:23:13,0,1.0,48.34245,-4.57165,1.0,b'2437131597                      ',b'FQBE',2.0,10.304,1.0,34.117,2.0,3.772,0.0,10.535,0.0
2023-02-16 06:25:07,0,1.0,48.34057,-4.57863,1.0,b'2437131598                      ',b'FQBE',2.0,10.294,1.0,34.157,2.0,3.777,0.0,10.54,0.0
2023-02-16 06:27:13,0,1.0,48.33828,-4.5857,1.0,b'2437131599                      ',b'FQBE',2.0,10.297,1.0,34.161,2.0,3.777,0.0,10.535,0.0
2023-02-16 06:28:49,0,1.0,48.33612,-4.59105,1.0,b'2437131600                      ',b'FQBE',2.0,10.294,1.0,34.166,2.0,3.777,0.0,10.535,0.0
2023-02-16 06:30:19,0,1.0,48.3337,-4.5958,1.0,b'2437131601                      ',b'FQBE',2.0,10.298,1.0,34.184,2.0,3.779,0.0,10.537,0.0
2023-02-16 06:34:01,0,1.0,48.32713,-4.60642,1.0,b'2437131602                      ',b'FQBE',2.0,10.314,1.0,34.269,2.0,3.789,0.0,10.551,0.0
2023-02-16 06:34:43,0,1.0,48.32582,-4.6084,1.0,b'2437131603                      ',b'FQBE',2.0,10.316,1.0,34.288,2.0,3.791,0.0,10.554,0.0
2023-02-16 06:37:07,0,1.0,48.3213,-4.61527,1.0,b'2437131604                      ',b'FQBE',2.0,10.323,1.0,34.325,2.0,3.795,0.0,10.56,0.0
2023-02-16 06:41:19,0,1.0,48.31357,-4.62707,1.0,b'2437131605                      ',b'FQBE',2.0,10.329,1.0,34.354,2.0,3.799,0.0,10.57,0.0
2023-02-16 06:43:13,0,1.0,48.31,-4.63198,1.0,b'2437131606                      ',b'FQBE',2.0,10.379,1.0,34.386,2.0,3.805,0.0,10.601,0.0
2023-02-16 06:45:07,0,1.0,48.30638,-4.63702,1.0,b'2437131607                      ',b'FQBE',2.0,10.395,1.0,34.483,2.0,3.819,0.0,10.641,0.0
2023-02-16 06:47:55,0,1.0,48.30115,-4.64433,1.0,b'2437131608                      ',b'FQBE',2.0,10.392,1.0,34.611,2.0,3.831,0.0,10.635,0.0
2023-02-16 06:48:25,0,1.0,48.30023,-4.64565,1.0,b'2437131609                      ',b'FQBE',2.0,10.383,1.0,34.638,2.0,3.833,0.0,10.628,0.0
2023-02-16 06:51:49,0,1.0,48.29395,-4.65445,1.0,b'2437131610                      ',b'FQBE',2.0,10.424,1.0,34.649,2.0,3.836,0.0,10.651,0.0
