TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC,PSAL,PSAL_QC,CNDC,CNDC_QC,SSJT,SSJT_QC
2023-02-01 07:44:05,0,1.0,48.71985,-3.92743,1.0,b'2426187859                      ',b'FGG2872',0.5,10.243,1.0,34.832,1.0,3.858,0.0,10.693,0.0
2023-02-01 07:45:50,0,1.0,48.72068,-3.92107,1.0,b'2426187860                      ',b'FGG2872',0.5,10.237,1.0,34.818,1.0,3.86,0.0,10.731,0.0
2023-02-01 07:48:20,0,1.0,48.72202,-3.91198,1.0,b'2426187861                      ',b'FGG2872',0.5,10.284,1.0,34.855,1.0,3.866,0.0,10.754,0.0
2023-02-01 07:50:20,0,1.0,48.72388,-3.90508,1.0,b'2426187862                      ',b'FGG2872',0.5,10.364,1.0,34.894,1.0,3.875,0.0,10.804,0.0
2023-02-01 07:53:20,0,1.0,48.72707,-3.89493,1.0,b'2426187863                      ',b'FGG2872',0.5,10.385,1.0,34.924,1.0,3.886,0.0,10.89,0.0
2023-02-01 07:54:35,0,1.0,48.72857,-3.89078,1.0,b'2426187864                      ',b'FGG2872',0.5,10.415,1.0,34.923,1.0,3.887,0.0,10.903,0.0
2023-02-01 07:56:20,0,1.0,48.7306,-3.88505,1.0,b'2426187865                      ',b'FGG2872',0.5,10.436,1.0,34.935,1.0,3.891,0.0,10.932,0.0
2023-02-01 07:58:20,0,1.0,48.73298,-3.87858,1.0,b'2426187866                      ',b'FGG2872',0.5,10.48,1.0,34.948,1.0,3.896,0.0,10.971,0.0
2023-02-01 08:00:20,0,1.0,48.73537,-3.87212,1.0,b'2426187867                      ',b'FGG2872',0.5,10.583,1.0,34.968,1.0,3.903,0.0,11.023,0.0
2023-02-01 08:02:20,0,1.0,48.73772,-3.8657,1.0,b'2426187868                      ',b'FGG2872',0.5,10.644,1.0,35.009,1.0,3.917,0.0,11.129,0.0
2023-02-01 08:04:20,0,1.0,48.74015,-3.85932,1.0,b'2426187869                      ',b'FGG2872',0.5,10.719,1.0,35.026,1.0,3.925,0.0,11.194,0.0
2023-02-01 08:06:35,0,1.0,48.74293,-3.85217,1.0,b'2426187870                      ',b'FGG2872',0.5,10.41,1.0,34.953,1.0,3.911,0.0,11.118,0.0
2023-02-01 08:09:20,0,1.0,48.74615,-3.84325,1.0,b'2426187871                      ',b'FGG2872',0.5,10.349,1.0,34.875,1.0,3.884,0.0,10.92,0.0
2023-02-01 08:10:20,0,1.0,48.74727,-3.84008,1.0,b'2426187872                      ',b'FGG2872',0.5,10.506,1.0,34.88,1.0,3.885,0.0,10.924,0.0
2023-02-01 08:12:20,0,1.0,48.7495,-3.83382,1.0,b'2426187873                      ',b'FGG2872',0.5,10.642,1.0,34.999,1.0,3.913,0.0,11.094,0.0
2023-02-01 08:14:20,0,1.0,48.75127,-3.82725,1.0,b'2426187874                      ',b'FGG2872',0.5,10.661,1.0,35.024,1.0,3.924,0.0,11.18,0.0
