TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC,PSAL,PSAL_QC
2023-02-01 00:00:00,0,1.0,47.56667,-52.7,1.0,b'2433876429                      ',b'XJBI',6.3,2.1,1.0,30.48,1.0
2023-02-01 01:00:00,0,1.0,47.56667,-52.7,1.0,b'2433876558                      ',b'XJBI',6.3,1.9,1.0,30.59,1.0
2023-02-01 02:00:00,0,1.0,47.56667,-52.63333,1.0,b'2433876522                      ',b'XJBI',6.3,2.1,1.0,30.56,1.0
2023-02-01 03:00:00,0,1.0,47.25,-52.7,1.0,b'2433876559                      ',b'XJBI',6.3,1.4,1.0,31.16,2.0
2023-02-01 04:00:00,0,1.0,46.93333,-52.83333,1.0,b'2433876499                      ',b'XJBI',6.3,1.3,1.0,31.16,2.0
2023-02-01 05:00:00,0,1.0,46.65,-53.03333,1.0,b'2433876521                      ',b'XJBI',6.3,1.5,1.0,31.26,1.0
2023-02-01 06:00:00,0,1.0,46.53333,-53.43333,1.0,b'2433876478                      ',b'XJBI',6.3,1.9,1.0,31.14,1.0
2023-02-01 07:00:00,0,1.0,46.55,-53.86667,1.0,b'2433876545                      ',b'XJBI',6.3,1.8,1.0,31.24,1.0
2023-02-01 08:00:00,0,1.0,46.56667,-54.31667,1.0,b'2433876414                      ',b'XJBI',6.3,1.7,1.0,31.43,1.0
2023-02-01 09:00:00,0,1.0,46.6,-54.78333,1.0,b'2433876460                      ',b'XJBI',6.3,2.2,1.0,31.38,1.0
2023-02-01 10:00:00,0,1.0,46.63333,-55.26667,1.0,b'2433876424                      ',b'XJBI',6.3,2.0,1.0,31.27,1.0
2023-02-01 11:00:00,0,1.0,46.65,-55.76667,1.0,b'2433876416                      ',b'XJBI',6.3,2.2,1.0,31.16,1.0
2023-02-01 12:00:00,0,1.0,46.68333,-56.25,1.0,b'2433876520                      ',b'XJBI',6.3,2.2,1.0,31.22,1.0
2023-02-01 13:00:00,0,1.0,46.8,-56.73333,1.0,b'2433876485                      ',b'XJBI',6.3,2.6,1.0,31.26,1.0
2023-02-01 14:00:00,0,1.0,46.91667,-57.2,1.0,b'2433876400                      ',b'XJBI',6.3,2.4,1.0,31.22,1.0
2023-02-01 15:00:00,0,1.0,47.05,-57.66667,1.0,b'2433876471                      ',b'XJBI',6.3,2.4,1.0,31.14,1.0
2023-02-01 16:00:00,0,1.0,47.18333,-58.15,1.0,b'2433876420                      ',b'XJBI',6.3,2.6,1.0,31.21,1.0
2023-02-01 17:00:00,0,1.0,47.3,-58.61667,1.0,b'2433876486                      ',b'XJBI',6.3,2.5,1.0,31.0,1.0
2023-02-01 18:00:00,0,1.0,47.43333,-59.08333,1.0,b'2433876525                      ',b'XJBI',6.3,1.7,1.0,30.78,1.0
2023-02-01 19:00:00,0,1.0,47.58333,-59.51667,1.0,b'2433876569                      ',b'XJBI',6.3,1.2,1.0,30.87,1.0
2023-02-01 20:00:00,0,1.0,47.73333,-59.95,1.0,b'2433876469                      ',b'XJBI',6.3,1.0,1.0,31.03,1.0
2023-02-01 21:00:00,0,1.0,47.9,-60.38333,1.0,b'2433876529                      ',b'XJBI',6.3,1.4,1.0,31.01,1.0
2023-02-01 22:00:00,0,1.0,48.08333,-60.83333,1.0,b'2433876528                      ',b'XJBI',6.3,1.3,1.0,30.91,1.0
2023-02-01 23:00:00,0,1.0,48.26667,-61.26667,1.0,b'2433876555                      ',b'XJBI',6.3,0.8,1.0,30.93,1.0
2023-02-02 00:00:00,0,1.0,48.43333,-61.7,1.0,b'2433876574                      ',b'XJBI',6.3,0.5,1.0,30.81,1.0
2023-02-02 01:00:00,0,1.0,48.6,-62.13333,1.0,b'2433876523                      ',b'XJBI',6.3,1.0,1.0,30.97,1.0
2023-02-02 02:00:00,0,1.0,48.78333,-62.56667,1.0,b'2433876425                      ',b'XJBI',6.3,0.3,1.0,30.94,1.0
2023-02-02 03:00:00,0,1.0,48.96667,-63.01667,1.0,b'2433876395                      ',b'XJBI',6.3,0.1,1.0,30.78,1.0
2023-02-02 04:00:00,0,1.0,49.13333,-63.45,1.0,b'2433876537                      ',b'XJBI',6.3,0.0,1.0,30.67,1.0
2023-02-02 05:00:00,0,1.0,49.3,-63.9,1.0,b'2433876445                      ',b'XJBI',6.3,-0.4,1.0,30.53,1.0
