TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2023-02-01 00:00:00,0,1.0,-37.95,149.5833,1.0,b'2424575416                      ',b'VRDE7',11.2,22.3,1.0
2023-02-01 00:15:00,0,1.0,-37.8833,149.65,1.0,b'2424575417                      ',b'VRDE7',11.2,21.6,1.0
2023-02-01 00:30:00,0,1.0,-37.8333,149.7,1.0,b'2424575418                      ',b'VRDE7',11.2,20.5,1.0
2023-02-01 00:45:00,0,1.0,-37.8,149.7667,1.0,b'2424575419                      ',b'VRDE7',11.2,21.1,1.0
2023-02-01 02:00:00,0,1.0,-37.55,150.0333,1.0,b'2424575420                      ',b'VRDE7',11.2,22.5,1.0
2023-02-01 02:15:00,0,1.0,-37.4667,150.0667,1.0,b'2424575421                      ',b'VRDE7',11.2,22.7,1.0
2023-02-01 02:30:00,0,1.0,-37.4167,150.1,1.0,b'2424575422                      ',b'VRDE7',11.2,23.1,1.0
2023-02-01 02:45:00,0,1.0,-37.35,150.1167,1.0,b'2424575423                      ',b'VRDE7',11.2,23.5,1.0
2023-02-01 04:00:00,0,1.0,-37.0333,150.25,1.0,b'2424575424                      ',b'VRDE7',11.2,24.1,1.0
2023-02-01 04:15:00,0,1.0,-36.9667,150.2667,1.0,b'2424575425                      ',b'VRDE7',11.2,24.2,1.0
2023-02-01 04:30:00,0,1.0,-36.9,150.3,1.0,b'2424575426                      ',b'VRDE7',11.2,24.2,1.0
2023-02-01 04:45:00,0,1.0,-36.85,150.3167,1.0,b'2424575427                      ',b'VRDE7',11.2,24.2,1.0
2023-02-01 06:00:00,0,1.0,-36.51667,150.43333,1.0,b'2424584468                      ',b'VRDE7',11.2,24.6,1.0
2023-02-01 06:15:00,0,1.0,-36.45,150.45,1.0,b'2424584469                      ',b'VRDE7',11.2,24.5,1.0
2023-02-01 06:30:00,0,1.0,-36.38333,150.48334,1.0,b'2424584467                      ',b'VRDE7',11.2,24.5,1.0
2023-02-01 06:45:00,0,1.0,-36.31667,150.51666,1.0,b'2424584466                      ',b'VRDE7',11.2,24.5,1.0
2023-02-01 08:00:00,0,1.0,-35.98333,150.63333,1.0,b'2424584472                      ',b'VRDE7',11.2,24.3,1.0
2023-02-01 08:15:00,0,1.0,-35.91667,150.66667,1.0,b'2424584471                      ',b'VRDE7',11.2,24.3,1.0
2023-02-01 08:30:00,0,1.0,-35.85,150.68333,1.0,b'2424584473                      ',b'VRDE7',11.2,24.2,1.0
2023-02-01 08:45:00,0,1.0,-35.8,150.7,1.0,b'2424584470                      ',b'VRDE7',11.2,24.2,1.0
2023-02-01 10:00:00,0,1.0,-35.46667,150.81667,1.0,b'2424584476                      ',b'VRDE7',11.2,23.7,1.0
2023-02-01 10:15:00,0,1.0,-35.41667,150.85,1.0,b'2424584475                      ',b'VRDE7',11.2,23.6,1.0
2023-02-01 10:30:00,0,1.0,-35.35,150.86667,1.0,b'2424584474                      ',b'VRDE7',11.2,23.7,1.0
2023-02-01 10:45:00,0,1.0,-35.3,150.9,1.0,b'2424584477                      ',b'VRDE7',11.2,24.8,1.0
2023-02-01 11:00:00,0,1.0,-35.23333,150.91667,1.0,b'2424584480                      ',b'VRDE7',11.2,25.4,1.0
2023-02-01 11:15:00,0,1.0,-35.16667,150.93333,1.0,b'2424584478                      ',b'VRDE7',11.2,25.3,1.0
2023-02-01 11:30:00,0,1.0,-35.1,150.95,1.0,b'2424584481                      ',b'VRDE7',11.2,25.5,1.0
2023-02-01 11:45:00,0,1.0,-35.03333,150.98334,1.0,b'2424584479                      ',b'VRDE7',11.2,25.7,1.0
2023-02-01 12:00:00,0,1.0,-34.96667,151.0,1.0,b'2424584483                      ',b'VRDE7',11.2,25.6,1.0
2023-02-01 12:15:00,0,1.0,-34.9,151.03333,1.0,b'2424584485                      ',b'VRDE7',11.2,25.7,1.0
2023-02-01 12:30:00,0,1.0,-34.85,151.05,1.0,b'2424584482                      ',b'VRDE7',11.2,25.7,1.0
2023-02-01 12:45:00,0,1.0,-34.76667,151.08333,1.0,b'2424584484                      ',b'VRDE7',11.2,25.8,1.0
2023-02-01 13:00:00,0,1.0,-34.7,151.1,1.0,b'2424584486                      ',b'VRDE7',11.2,25.7,1.0
2023-02-01 13:15:00,0,1.0,-34.63333,151.13333,1.0,b'2424584488                      ',b'VRDE7',11.2,25.6,1.0
2023-02-01 13:30:00,0,1.0,-34.55,151.16667,1.0,b'2424584487                      ',b'VRDE7',11.2,25.5,1.0
2023-02-01 13:45:00,0,1.0,-34.48333,151.2,1.0,b'2424584489                      ',b'VRDE7',11.2,25.3,1.0
2023-02-01 14:00:00,0,1.0,-34.41667,151.21667,1.0,b'2424584491                      ',b'VRDE7',11.2,25.1,1.0
2023-02-01 14:15:00,0,1.0,-34.36667,151.23334,1.0,b'2424584493                      ',b'VRDE7',11.2,24.8,1.0
2023-02-01 14:30:00,0,1.0,-34.3,151.25,1.0,b'2424584490                      ',b'VRDE7',11.2,24.3,1.0
2023-02-01 14:45:00,0,1.0,-34.25,151.28333,1.0,b'2424584492                      ',b'VRDE7',11.2,24.3,1.0
2023-02-01 15:00:00,0,1.0,-34.21667,151.3,1.0,b'2424584494                      ',b'VRDE7',11.2,24.3,1.0
2023-02-01 15:15:00,0,1.0,-34.15,151.31667,1.0,b'2424584497                      ',b'VRDE7',11.2,24.1,1.0
2023-02-01 15:30:00,0,1.0,-34.1,151.31667,1.0,b'2424584495                      ',b'VRDE7',11.2,24.0,1.0
2023-02-01 15:45:00,0,1.0,-34.06667,151.31667,1.0,b'2424584496                      ',b'VRDE7',11.2,23.9,1.0
2023-02-01 17:00:00,0,1.0,-33.96667,151.2,4.0,b'2424584498                      ',b'VRDE7',11.2,23.8,1.0
