TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC,PSAL,PSAL_QC,HCDT,HCDT_QC,HCSP,HCSP_QC
2023-02-01 00:00:00,0,1.0,24.6167,136.9833,1.0,b'2426203326                      ',b'JGQH',4.5,23.0,1.0,34.72,1.0,,,,
2023-02-01 01:29:00,0,1.0,24.2833,136.9833,1.0,b'2426203327                      ',b'JGQH',4.5,22.6,1.0,34.74,1.0,,,,
2023-02-01 07:44:00,0,1.0,23.95,137.0,1.0,b'2426203328                      ',b'JGQH',4.5,23.8,1.0,34.77,1.0,,,,
2023-02-01 11:05:00,0,1.0,23.6167,136.9833,1.0,b'2426203329                      ',b'JGQH',4.5,24.0,1.0,34.76,1.0,,,,
2023-02-01 12:29:00,0,1.0,23.2833,136.9833,1.0,b'2426203330                      ',b'JGQH',4.5,24.1,1.0,34.75,1.0,,,,
2023-02-05 19:55:00,0,1.0,15.01667,136.16667,1.0,b'2432516036                      ',b'JGQH',4.5,28.0,1.0,34.61,1.0,,,,
2023-02-06 01:15:00,0,1.0,16.0,135.3833,1.0,b'2432543553                      ',b'JGQH',4.5,28.0,1.0,34.57,1.0,330.0,1.0,0.514,1.0
2023-02-06 06:25:00,0,1.0,17.0,134.6,1.0,b'2432543554                      ',b'JGQH',4.5,27.5,1.0,34.68,1.0,330.0,1.0,0.463,1.0
2023-02-06 11:45:00,0,1.0,18.0167,133.8,1.0,b'2432543555                      ',b'JGQH',4.5,27.1,1.0,34.68,1.0,330.0,1.0,0.309,1.0
2023-02-06 16:55:00,0,1.0,18.9833,133.0167,1.0,b'2432543556                      ',b'JGQH',4.5,26.8,1.0,34.72,1.0,350.0,1.0,0.412,1.0
2023-02-06 22:05:00,0,1.0,20.0,132.2,1.0,b'2432543557                      ',b'JGQH',4.5,26.7,1.0,34.66,1.0,340.0,1.0,0.36,1.0
2023-02-07 03:25:00,0,1.0,21.0167,131.3833,1.0,b'2433866855                      ',b'JGQH',4.5,24.2,1.0,34.65,1.0,260.0,1.0,0.36,1.0
2023-02-07 08:35:00,0,1.0,22.0,130.5667,1.0,b'2433866856                      ',b'JGQH',4.5,23.4,1.0,34.65,1.0,350.0,1.0,0.463,1.0
2023-02-07 14:10:00,0,1.0,23.0,129.75,1.0,b'2433866858                      ',b'JGQH',4.5,22.8,1.0,34.66,1.0,,,,
2023-02-07 14:10:00,0,1.0,23.0,129.75,1.0,b'2433866857                      ',b'JGQH',4.5,22.8,1.0,34.66,1.0,200.0,1.0,0.154,1.0
2023-02-07 15:37:00,0,1.0,23.2667,129.5333,1.0,b'2433866859                      ',b'JGQH',4.5,23.0,1.0,34.6,1.0,,,,
2023-02-07 17:00:00,0,1.0,23.5167,129.3167,1.0,b'2433866860                      ',b'JGQH',4.5,22.9,1.0,34.6,1.0,,,,
2023-02-07 18:21:00,0,1.0,23.7833,129.1,1.0,b'2433866861                      ',b'JGQH',4.5,22.6,1.0,34.64,1.0,,,,
2023-02-07 19:30:00,0,1.0,24.0,128.9167,1.0,b'2433866862                      ',b'JGQH',4.5,22.9,1.0,34.61,1.0,290.0,1.0,0.36,1.0
2023-02-07 19:42:00,0,1.0,24.0333,128.8833,1.0,b'2433866863                      ',b'JGQH',4.5,23.0,1.0,34.59,1.0,,,,
2023-02-07 21:05:00,0,1.0,24.3,128.6667,1.0,b'2433866864                      ',b'JGQH',4.5,23.0,1.0,34.6,1.0,,,,
2023-02-07 22:26:00,0,1.0,24.55,128.45,1.0,b'2433866865                      ',b'JGQH',4.5,22.9,1.0,34.61,1.0,,,,
2023-02-07 23:49:00,0,1.0,24.8167,128.2333,1.0,b'2433866866                      ',b'JGQH',4.5,22.7,1.0,34.6,1.0,,,,
2023-02-08 00:00:00,0,1.0,24.85,128.2167,1.0,b'2434214980                      ',b'JGQH',4.5,22.9,1.0,34.59,1.0,,,,
2023-02-08 01:35:00,0,1.0,24.98333,128.08333,1.0,b'2433876347                      ',b'JGQH',4.5,23.3,1.0,34.57,1.0,,,,
2023-02-08 09:07:00,0,1.0,25.1,127.9833,1.0,b'2434214981                      ',b'JGQH',4.5,23.2,1.0,34.58,1.0,,,,
2023-02-08 10:32:00,0,1.0,25.4,127.8667,1.0,b'2434214982                      ',b'JGQH',4.5,23.5,1.0,34.58,1.0,,,,
2023-02-08 12:01:00,0,1.0,25.7167,127.75,1.0,b'2434214983                      ',b'JGQH',4.5,23.1,1.0,34.58,1.0,,,,
