TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-05 12:00:00,0,1.0,32.7,138.6,1.0,b'3388347695                      ',b'3E5320',0.0,20.3,1.0
2025-04-06 12:00:00,0,1.0,33.3,143.8,1.0,b'3388696811                      ',b'3E5320',0.0,18.0,1.0
2025-04-07 12:00:00,0,1.0,34.2,149.2,1.0,b'3389076420                      ',b'3E5320',0.0,17.7,1.0
2025-04-08 12:00:00,0,1.0,34.3,154.6,1.0,b'3389640962                      ',b'3E5320',0.0,18.9,1.0
2025-04-09 12:00:00,0,1.0,34.3,159.9,1.0,b'3390010189                      ',b'3E5320',0.0,19.2,1.0
2025-04-10 09:00:00,0,1.0,34.3,164.3,1.0,b'3390266756                      ',b'3E5320',0.0,18.0,1.0
