TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-01 09:00:00,0,1.0,50.7,-1.5,1.0,b'3386505649                      ',b'2ZC4T9S',0.0,10.0,1.0
2025-04-02 08:00:00,0,1.0,50.7,-1.2,4.0,b'3386940380                      ',b'2ZC4T9S',0.0,10.0,1.0
2025-04-07 07:00:00,0,1.0,50.7,-1.1,1.0,b'3388998579                      ',b'2ZC4T9S',0.0,10.0,1.0
2025-04-07 13:00:00,0,1.0,50.6,-1.4,1.0,b'3389076483                      ',b'2ZC4T9S',0.0,10.0,1.0
2025-04-07 16:00:00,0,1.0,50.7,-1.2,4.0,b'3389316172                      ',b'2ZC4T9S',0.0,10.0,1.0
2025-04-08 19:00:00,0,1.0,50.6,-2.2,1.0,b'3389700793                      ',b'2ZC4T9S',0.0,10.0,1.0
2025-04-09 08:00:00,0,1.0,50.6,-2.4,1.0,b'3389928278                      ',b'2ZC4T9S',0.0,10.0,1.0
2025-04-15 12:00:00,0,1.0,50.3,-4.6,1.0,b'3392820846                      ',b'2ZC4T9S',0.0,10.0,1.0
