TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-11 11:00:00,0,1.0,59.0,-5.7,1.0,b'3390806976                      ',b'3E3440',0.0,9.0,1.0
2025-04-14 12:00:00,0,1.0,57.7,-26.1,1.0,b'3392498039                      ',b'3E3440',0.0,9.0,1.0
2025-04-17 14:00:00,0,1.0,48.0,-38.8,1.0,b'3393615587                      ',b'3E3440',0.0,12.0,1.0
2025-04-18 14:00:00,0,1.0,45.2,-53.3,1.0,b'3393971399                      ',b'3E3440',0.0,14.0,1.0
2025-04-22 16:00:00,0,1.0,43.2,-66.0,1.0,b'3395727448                      ',b'3E3440',0.0,2.0,1.0
2025-04-25 17:00:00,0,1.0,40.2,-69.4,1.0,b'3396833711                      ',b'3E3440',0.0,7.0,1.0
2025-04-30 16:00:00,0,1.0,38.6,-74.9,1.0,b'3399026948                      ',b'3E3440',0.0,11.0,1.0
