TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-01 00:00:00,0,1.0,46.2,-84.2,4.0,b'3386462958                      ',b'2CXJVYJ',0.0,1.7,1.0
2025-04-01 01:00:00,0,1.0,46.1,-84.0,4.0,b'3386462959                      ',b'2CXJVYJ',0.0,1.5,1.0
2025-04-01 02:00:00,0,1.0,46.0,-83.9,4.0,b'3386462960                      ',b'2CXJVYJ',0.0,1.6,1.0
2025-04-01 03:00:00,0,1.0,45.8,-83.7,4.0,b'3386462961                      ',b'2CXJVYJ',0.0,2.0,1.0
2025-04-01 04:00:00,0,1.0,45.7,-83.5,4.0,b'3386462962                      ',b'2CXJVYJ',0.0,2.6,4.0
2025-04-01 05:00:00,0,1.0,45.5,-83.3,4.0,b'3386462963                      ',b'2CXJVYJ',0.0,2.7,1.0
2025-04-01 06:00:00,0,1.0,45.4,-83.1,4.0,b'3386462964                      ',b'2CXJVYJ',0.0,2.8,1.0
2025-04-01 07:00:00,0,1.0,45.2,-83.0,4.0,b'3386505339                      ',b'2CXJVYJ',0.0,2.8,1.0
2025-04-01 08:00:00,0,1.0,45.0,-82.9,4.0,b'3386505340                      ',b'2CXJVYJ',0.0,2.9,1.0
2025-04-01 09:00:00,0,1.0,44.8,-82.8,4.0,b'3386505341                      ',b'2CXJVYJ',0.0,3.0,1.0
2025-04-01 10:00:00,0,1.0,44.6,-82.7,4.0,b'3386505342                      ',b'2CXJVYJ',0.0,3.0,1.0
2025-04-01 11:00:00,0,1.0,44.4,-82.6,4.0,b'3386584919                      ',b'2CXJVYJ',0.0,2.9,1.0
2025-04-01 12:00:00,0,1.0,44.2,-82.5,4.0,b'3386584920                      ',b'2CXJVYJ',0.0,2.4,4.0
2025-04-01 13:00:00,0,1.0,44.0,-82.4,4.0,b'3386584921                      ',b'2CXJVYJ',0.0,2.8,4.0
2025-04-01 14:00:00,0,1.0,43.8,-82.4,4.0,b'3386584922                      ',b'2CXJVYJ',0.0,2.8,1.0
2025-04-01 15:00:00,0,1.0,43.5,-82.4,4.0,b'3386618179                      ',b'2CXJVYJ',0.0,2.7,4.0
2025-04-01 16:00:00,0,1.0,43.3,-82.4,4.0,b'3386618180                      ',b'2CXJVYJ',0.0,3.1,1.0
2025-04-01 17:00:00,0,1.0,43.1,-82.4,4.0,b'3386618181                      ',b'2CXJVYJ',0.0,3.7,1.0
2025-04-01 18:00:00,0,1.0,42.9,-82.4,4.0,b'3386618182                      ',b'2CXJVYJ',0.0,4.2,1.0
2025-04-02 11:00:00,0,1.0,42.9,-82.4,4.0,b'3387055601                      ',b'2CXJVYJ',0.0,4.2,1.0
2025-04-02 12:00:00,0,1.0,42.7,-82.4,4.0,b'3387055602                      ',b'2CXJVYJ',0.0,4.3,1.0
2025-04-02 13:00:00,0,1.0,42.6,-82.5,4.0,b'3387055603                      ',b'2CXJVYJ',0.0,4.4,1.0
2025-04-02 14:00:00,0,1.0,42.5,-82.6,4.0,b'3387055604                      ',b'2CXJVYJ',0.0,4.3,1.0
2025-04-02 16:00:00,0,1.0,42.3,-82.9,4.0,b'3387088557                      ',b'2CXJVYJ',0.0,5.2,1.0
2025-04-03 11:00:00,0,1.0,42.2,-83.0,4.0,b'3387442246                      ',b'2CXJVYJ',0.0,7.2,1.0
2025-04-04 02:00:00,0,1.0,42.1,-83.1,4.0,b'3387698734                      ',b'2CXJVYJ',0.0,7.6,4.0
2025-04-04 03:00:00,0,1.0,42.0,-83.1,4.0,b'3387698735                      ',b'2CXJVYJ',0.0,7.3,4.0
2025-04-04 04:00:00,0,1.0,41.8,-83.0,4.0,b'3387698736                      ',b'2CXJVYJ',0.0,7.6,4.0
2025-04-04 05:00:00,0,1.0,41.8,-82.7,4.0,b'3387698737                      ',b'2CXJVYJ',0.0,7.5,1.0
2025-04-04 06:00:00,0,1.0,41.8,-82.4,4.0,b'3387698738                      ',b'2CXJVYJ',0.0,7.5,1.0
2025-04-04 07:00:00,0,1.0,41.8,-82.1,4.0,b'3387740854                      ',b'2CXJVYJ',0.0,5.8,4.0
2025-04-04 08:00:00,0,1.0,41.9,-81.8,4.0,b'3387740855                      ',b'2CXJVYJ',0.0,5.1,1.0
2025-04-04 09:00:00,0,1.0,42.0,-81.5,4.0,b'3387740856                      ',b'2CXJVYJ',0.0,4.7,1.0
2025-04-04 10:00:00,0,1.0,42.1,-81.2,4.0,b'3387740857                      ',b'2CXJVYJ',0.0,4.5,1.0
2025-04-04 11:00:00,0,1.0,42.1,-80.9,4.0,b'3387822581                      ',b'2CXJVYJ',0.0,4.2,1.0
2025-04-04 12:00:00,0,1.0,42.2,-80.6,4.0,b'3387822582                      ',b'2CXJVYJ',0.0,4.0,1.0
2025-04-04 13:00:00,0,1.0,42.3,-80.3,4.0,b'3387822583                      ',b'2CXJVYJ',0.0,3.8,4.0
2025-04-04 14:00:00,0,1.0,42.4,-79.9,4.0,b'3387822584                      ',b'2CXJVYJ',0.0,2.8,1.0
2025-04-04 15:00:00,0,1.0,42.5,-79.6,4.0,b'3387860526                      ',b'2CXJVYJ',0.0,2.8,1.0
2025-04-04 16:00:00,0,1.0,42.6,-79.3,4.0,b'3387860527                      ',b'2CXJVYJ',0.0,2.8,1.0
2025-04-04 17:00:00,0,1.0,42.7,-79.0,4.0,b'3387860528                      ',b'2CXJVYJ',0.0,2.7,4.0
2025-04-04 18:00:00,0,1.0,42.8,-78.8,4.0,b'3387860529                      ',b'2CXJVYJ',0.0,1.9,1.0
2025-04-04 19:00:00,0,1.0,42.8,-78.9,4.0,b'3387887330                      ',b'2CXJVYJ',0.0,1.8,1.0
