TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-01 06:00:00,0,1.0,34.1,-43.3,1.0,b'3386585295                      ',b'3E4612',0.0,19.5,1.0
2025-04-01 12:00:00,0,1.0,33.5,-45.3,1.0,b'3386585296                      ',b'3E4612',0.0,20.6,1.0
2025-04-02 00:00:00,0,1.0,32.5,-49.1,1.0,b'3386895574                      ',b'3E4612',0.0,21.4,1.0
2025-04-02 06:00:00,0,1.0,31.9,-51.0,1.0,b'3387055908                      ',b'3E4612',0.0,20.4,4.0
2025-04-02 12:00:00,0,1.0,31.4,-52.9,1.0,b'3387055909                      ',b'3E4612',0.0,22.4,1.0
2025-04-02 18:00:00,0,1.0,30.8,-54.7,1.0,b'3387148896                      ',b'3E4612',0.0,22.6,1.0
2025-04-03 00:00:00,0,1.0,30.3,-56.5,1.0,b'3387297933                      ',b'3E4612',0.0,22.3,1.0
2025-04-03 06:00:00,0,1.0,29.7,-58.4,1.0,b'3387442549                      ',b'3E4612',0.0,22.4,1.0
2025-04-03 12:00:00,0,1.0,29.2,-60.2,1.0,b'3387442550                      ',b'3E4612',0.0,22.6,1.0
2025-04-03 18:00:00,0,1.0,28.8,-62.1,1.0,b'3387479182                      ',b'3E4612',0.0,22.5,1.0
2025-04-04 00:00:00,0,1.0,28.4,-64.0,1.0,b'3387699360                      ',b'3E4612',0.0,23.3,1.0
2025-04-04 12:00:00,0,1.0,27.6,-67.8,1.0,b'3387822884                      ',b'3E4612',0.0,24.4,1.0
2025-04-04 18:00:00,0,1.0,27.2,-69.7,1.0,b'3387860834                      ',b'3E4612',0.0,24.4,1.0
2025-04-05 06:00:00,0,1.0,26.5,-73.4,1.0,b'3388264254                      ',b'3E4612',0.0,26.3,1.0
2025-04-05 18:00:00,0,1.0,25.7,-77.1,1.0,b'3388402861                      ',b'3E4612',0.0,25.4,1.0
2025-04-06 06:00:00,0,1.0,25.2,-79.5,1.0,b'3388697205                      ',b'3E4612',0.0,27.5,1.0
2025-04-06 18:00:00,0,1.0,23.7,-82.2,1.0,b'3388757678                      ',b'3E4612',0.0,27.7,1.0
2025-04-07 00:00:00,0,1.0,23.8,-83.8,1.0,b'3388956194                      ',b'3E4612',0.0,27.6,1.0
2025-04-07 06:00:00,0,1.0,24.2,-85.6,1.0,b'3388998590                      ',b'3E4612',0.0,27.5,1.0
2025-04-07 18:00:00,0,1.0,25.0,-89.2,1.0,b'3389316539                      ',b'3E4612',0.0,26.4,1.0
