TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-01 00:00:00,0,1.0,15.3,-100.7,1.0,b'3386463399                      ',b'3E3566',0.0,29.0,4.0
2025-04-01 06:00:00,0,1.0,14.7,-99.6,1.0,b'3386463400                      ',b'3E3566',0.0,28.0,1.0
2025-04-01 12:00:00,0,1.0,14.1,-98.4,1.0,b'3386618088                      ',b'3E3566',0.0,29.0,1.0
2025-04-02 00:00:00,0,1.0,12.9,-96.1,1.0,b'3386895448                      ',b'3E3566',0.0,29.0,1.0
2025-04-02 12:00:00,0,1.0,11.7,-93.9,1.0,b'3387055509                      ',b'3E3566',0.0,30.0,1.0
2025-04-02 18:00:00,0,1.0,11.1,-92.8,1.0,b'3387088452                      ',b'3E3566',0.0,31.0,1.0
2025-04-03 00:00:00,0,1.0,10.5,-91.6,1.0,b'3387297797                      ',b'3E3566',0.0,30.0,1.0
2025-04-03 06:00:00,0,1.0,9.9,-90.6,1.0,b'3387297798                      ',b'3E3566',0.0,29.0,1.0
2025-04-03 12:00:00,0,1.0,9.3,-89.4,1.0,b'3387442486                      ',b'3E3566',0.0,29.0,1.0
2025-04-04 00:00:00,0,1.0,8.3,-87.1,1.0,b'3387699215                      ',b'3E3566',0.0,30.0,1.0
2025-04-04 12:00:00,0,1.0,7.6,-84.6,1.0,b'3387822499                      ',b'3E3566',0.0,30.0,1.0
2025-04-05 12:00:00,0,1.0,7.2,-79.8,1.0,b'3388347733                      ',b'3E3566',0.0,30.0,1.0
2025-04-10 00:00:00,0,1.0,10.5,-79.9,1.0,b'3390194732                      ',b'3E3566',0.0,29.0,1.0
2025-04-10 06:00:00,0,1.0,11.8,-79.8,1.0,b'3390352512                      ',b'3E3566',0.0,29.0,1.0
2025-04-11 00:00:00,0,1.0,15.5,-79.6,1.0,b'3390610389                      ',b'3E3566',0.0,29.0,1.0
2025-04-11 07:00:00,0,1.0,16.7,-80.2,1.0,b'3390654158                      ',b'3E3566',0.0,29.0,1.0
2025-04-11 12:00:00,0,1.0,12.5,-81.1,4.0,b'3390747394                      ',b'3E3566',0.0,28.0,1.0
2025-04-11 19:00:00,0,1.0,18.5,-82.2,4.0,b'3390806980                      ',b'3E3566',0.0,28.0,1.0
2025-04-12 00:00:00,0,1.0,19.3,-83.0,1.0,b'3390987470                      ',b'3E3566',0.0,28.0,1.0
2025-04-12 12:00:00,0,1.0,21.1,-84.9,1.0,b'3391518380                      ',b'3E3566',0.0,28.0,1.0
2025-04-12 18:00:00,0,1.0,22.1,-85.7,1.0,b'3391583857                      ',b'3E3566',0.0,28.0,1.0
2025-04-13 00:00:00,0,1.0,23.2,-86.6,1.0,b'3391762183                      ',b'3E3566',0.0,28.0,1.0
2025-04-14 00:00:00,0,1.0,26.0,-91.4,1.0,b'3392107693                      ',b'3E3566',0.0,26.0,1.0
2025-04-14 12:00:00,0,1.0,27.9,-92.6,1.0,b'3392263112                      ',b'3E3566',0.0,26.0,1.0
2025-04-19 12:00:00,0,1.0,28.4,-93.0,1.0,b'3394346152                      ',b'3E3566',0.0,22.0,1.0
2025-04-20 00:00:00,0,1.0,26.3,-92.5,1.0,b'3394583220                      ',b'3E3566',0.0,25.0,1.0
2025-04-20 12:00:00,0,1.0,25.4,-92.6,1.0,b'3394706086                      ',b'3E3566',0.0,24.0,1.0
2025-04-20 18:00:00,0,1.0,25.3,-92.4,1.0,b'3394759094                      ',b'3E3566',0.0,25.0,1.0
2025-04-21 12:00:00,0,1.0,25.4,-92.4,1.0,b'3395055644                      ',b'3E3566',0.0,23.0,1.0
2025-04-21 18:00:00,0,1.0,25.5,-92.3,1.0,b'3395304039                      ',b'3E3566',0.0,25.0,1.0
2025-04-22 00:00:00,0,1.0,25.4,-92.1,1.0,b'3395507886                      ',b'3E3566',0.0,25.0,1.0
2025-04-22 06:00:00,0,1.0,25.5,-92.1,1.0,b'3395507887                      ',b'3E3566',0.0,25.0,1.0
2025-04-23 00:00:00,0,1.0,25.5,-92.3,1.0,b'3395872364                      ',b'3E3566',0.0,25.0,1.0
2025-04-23 12:00:00,0,1.0,25.5,-92.4,1.0,b'3395997421                      ',b'3E3566',0.0,25.0,1.0
2025-04-24 00:00:00,0,1.0,25.5,-92.7,1.0,b'3396242082                      ',b'3E3566',0.0,26.0,1.0
2025-04-24 12:00:00,0,1.0,25.5,-92.9,1.0,b'3396406493                      ',b'3E3566',0.0,26.0,1.0
2025-04-25 12:00:00,0,1.0,25.5,-92.4,1.0,b'3396796431                      ',b'3E3566',0.0,25.0,1.0
2025-04-25 18:00:00,0,1.0,25.7,-91.1,1.0,b'3396860040                      ',b'3E3566',0.0,26.0,1.0
2025-04-26 00:00:00,0,1.0,26.7,-90.3,1.0,b'3397023258                      ',b'3E3566',0.0,26.0,1.0
2025-04-26 06:00:00,0,1.0,27.8,-89.8,1.0,b'3397140559                      ',b'3E3566',0.0,25.0,1.0
