TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-03 06:00:00,0,1.0,-5.6,116.0,1.0,b'3387297964                      ',b'3E5007',0.0,32.0,1.0
2025-04-04 06:00:00,0,1.0,-7.6,121.0,1.0,b'3387741196                      ',b'3E5007',0.0,37.0,1.0
2025-04-06 05:00:00,0,1.0,-8.9,131.4,1.0,b'3388582667                      ',b'3E5007',0.0,31.0,1.0
2025-04-09 04:00:00,0,1.0,-9.6,145.5,1.0,b'3389885130                      ',b'3E5007',0.0,30.0,1.0
2025-04-10 04:00:00,0,1.0,-11.6,150.6,1.0,b'3390194900                      ',b'3E5007',0.0,32.0,1.0
2025-04-12 03:00:00,0,1.0,-16.3,159.3,1.0,b'3390987626                      ',b'3E5007',0.0,31.0,1.0
