TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-01 02:00:00,0,1.0,70.1,23.0,1.0,b'3386584896                      ',b'2WDQB3E',0.0,5.0,4.0
2025-04-01 10:00:00,0,1.0,70.2,17.7,1.0,b'3386584897                      ',b'2WDQB3E',0.0,2.4,1.0
2025-04-02 01:00:00,0,1.0,67.4,8.9,1.0,b'3387088535                      ',b'2WDQB3E',0.0,9.1,4.0
2025-04-02 05:00:00,0,1.0,66.3,7.7,1.0,b'3387088536                      ',b'2WDQB3E',0.0,9.3,1.0
2025-04-02 13:00:00,0,1.0,63.9,5.0,1.0,b'3387055579                      ',b'2WDQB3E',0.0,9.7,1.0
2025-04-02 17:00:00,0,1.0,62.8,-4.0,4.0,b'3387088537                      ',b'2WDQB3E',0.0,10.0,1.0
2025-04-02 21:00:00,0,1.0,61.4,4.0,4.0,b'3387115632                      ',b'2WDQB3E',0.0,8.3,1.0
2025-04-03 01:00:00,0,1.0,59.9,4.1,1.0,b'3387297307                      ',b'2WDQB3E',0.0,8.9,1.0
2025-04-03 17:00:00,0,1.0,58.5,5.2,1.0,b'3387478796                      ',b'2WDQB3E',0.0,8.0,1.0
2025-04-03 21:00:00,0,1.0,57.1,4.5,1.0,b'3387506888                      ',b'2WDQB3E',0.0,9.0,1.0
2025-04-04 01:00:00,0,1.0,55.8,3.8,1.0,b'3387698682                      ',b'2WDQB3E',0.0,8.4,1.0
2025-04-04 13:00:00,0,1.0,52.1,2.5,1.0,b'3387822565                      ',b'2WDQB3E',0.0,8.0,1.0
2025-04-04 17:00:00,0,1.0,51.3,1.8,1.0,b'3387860502                      ',b'2WDQB3E',0.0,10.0,1.0
2025-04-04 21:00:00,0,1.0,50.6,0.5,1.0,b'3387887315                      ',b'2WDQB3E',0.0,11.4,1.0
2025-04-05 01:00:00,0,1.0,50.6,-0.7,1.0,b'3388068287                      ',b'2WDQB3E',0.0,10.0,1.0
2025-04-05 10:00:00,0,1.0,50.8,-1.3,1.0,b'3388263888                      ',b'2WDQB3E',0.0,12.0,1.0
2025-04-05 14:00:00,0,1.0,50.5,-0.5,1.0,b'3388347789                      ',b'2WDQB3E',0.0,11.2,1.0
2025-04-05 18:00:00,0,1.0,50.6,1.1,1.0,b'3388376119                      ',b'2WDQB3E',0.0,11.0,1.0
2025-04-05 22:00:00,0,1.0,51.4,2.1,1.0,b'3388402583                      ',b'2WDQB3E',0.0,10.0,1.0
2025-04-06 02:00:00,0,1.0,51.8,3.3,1.0,b'3388581963                      ',b'2WDQB3E',0.0,8.0,1.0
2025-04-22 21:00:00,0,1.0,52.0,3.6,1.0,b'3395727527                      ',b'2WDQB3E',0.0,11.0,1.0
2025-04-23 02:00:00,0,1.0,51.4,2.0,1.0,b'3395871917                      ',b'2WDQB3E',0.0,9.0,4.0
2025-04-23 06:00:00,0,1.0,50.7,0.8,1.0,b'3395871918                      ',b'2WDQB3E',0.0,11.8,1.0
2025-04-23 09:00:00,0,1.0,50.3,-0.9,1.0,b'3395912032                      ',b'2WDQB3E',0.0,11.8,1.0
2025-04-23 18:00:00,0,1.0,50.3,-1.7,1.0,b'3396034041                      ',b'2WDQB3E',0.0,12.0,1.0
2025-04-24 18:00:00,0,1.0,50.7,-0.9,1.0,b'3396432744                      ',b'2WDQB3E',0.0,13.0,1.0
2025-04-25 02:00:00,0,1.0,51.1,1.9,1.0,b'3396548242                      ',b'2WDQB3E',0.0,13.0,4.0
2025-04-25 06:00:00,0,1.0,52.1,2.6,1.0,b'3396548243                      ',b'2WDQB3E',0.0,11.4,1.0
2025-04-25 10:00:00,0,1.0,53.4,2.7,1.0,b'3396728534                      ',b'2WDQB3E',0.0,10.0,1.0
2025-04-25 17:00:00,0,1.0,55.8,3.8,1.0,b'3396833797                      ',b'2WDQB3E',0.0,10.4,1.0
2025-04-25 21:00:00,0,1.0,57.0,4.4,1.0,b'3396860082                      ',b'2WDQB3E',0.0,9.0,1.0
2025-04-26 02:00:00,0,1.0,58.4,5.0,1.0,b'3397022803                      ',b'2WDQB3E',0.0,10.1,4.0
2025-04-26 05:00:00,0,1.0,59.3,5.1,1.0,b'3397022804                      ',b'2WDQB3E',0.0,9.8,1.0
2025-04-26 13:00:00,0,1.0,59.4,5.2,1.0,b'3397140214                      ',b'2WDQB3E',0.0,10.3,1.0
2025-04-26 17:00:00,0,1.0,59.8,4.6,1.0,b'3397172616                      ',b'2WDQB3E',0.0,10.0,1.0
2025-04-28 02:00:00,0,1.0,62.4,5.0,1.0,b'3397717948                      ',b'2WDQB3E',0.0,8.0,1.0
2025-04-28 06:00:00,0,1.0,62.4,6.1,1.0,b'3398233437                      ',b'2WDQB3E',0.0,9.5,4.0
2025-04-28 17:00:00,0,1.0,62.4,5.8,1.0,b'3398233438                      ',b'2WDQB3E',0.0,9.1,1.0
2025-04-28 21:00:00,0,1.0,65.9,5.5,4.0,b'3398259674                      ',b'2WDQB3E',0.0,9.2,1.0
2025-04-29 01:00:00,0,1.0,63.7,6.6,4.0,b'3398386959                      ',b'2WDQB3E',0.0,12.0,4.0
2025-04-29 06:00:00,0,1.0,67.4,7.7,4.0,b'3398386960                      ',b'2WDQB3E',0.0,9.3,1.0
2025-04-29 10:00:00,0,1.0,65.0,8.7,4.0,b'3398428707                      ',b'2WDQB3E',0.0,9.0,1.0
2025-04-29 17:00:00,0,1.0,66.3,10.7,1.0,b'3398545691                      ',b'2WDQB3E',0.0,8.9,1.0
2025-04-29 21:00:00,0,1.0,66.9,11.7,1.0,b'3398572039                      ',b'2WDQB3E',0.0,8.0,1.0
2025-04-30 01:00:00,0,1.0,67.6,12.8,1.0,b'3398748540                      ',b'2WDQB3E',0.0,13.0,4.0
