
Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag
French Polynesia,Tonnes - live weight,1752.489,A,1557.675,A,1469.417,A,1879.386,A,1853.697,A
Gabon,Tonnes - live weight,87,E,72,E,72,E,62,E,62,E
Gambia,Tonnes - live weight,42,E,35,E,33,E,33,E,33,E
Georgia,Tonnes - live weight,2743.2,A,2790.4,A,2026.9,A,2444.7,A,2381.5,A
Germany,Tonnes - live weight,26545,A,32649,A,32258,A,40756,A,34196,A
Ghana,Tonnes - live weight,132682,A,89380,E,64010,E,52360,E,76630,E
Greece,Tonnes - live weight,142007.591,A,143925.564,A,131737.165,A,128821.578,A,132364.52,A
Grenada,Tonnes - live weight,26,E,22.5,E,22.5,E,22.5,E,20.5,E
Guadeloupe,Tonnes - live weight,53,E,50,E,45,E,25,E,24,E
Guam,Tonnes - live weight,108,E,105,E,108,E,105,E,103,E
Guatemala,Tonnes - live weight,42313.4,A,32583.45,A,33651,A,31000,E,28317,A
Guinea,Tonnes - live weight,1180,E,1150,E,1135,A,806.2,A,686.6,A
Guinea-Bissau,Tonnes - live weight,15,E,15,E,15,E,20,E,25,E
Guyana,Tonnes - live weight,953.4,A,141.73,A,137.626,A,243.02,A,306.76,A
Haiti,Tonnes - live weight,1685,E,1610,E,1560,E,1555,E,1430,E
Honduras,Tonnes - live weight,73193,E,63267.8,E,71151.1,E,68100,E,65000,E
Hungary,Tonnes - live weight,18947.763,A,17846.740,A,18373.345,A,17283.305,A,17852.3,A
Iceland,Tonnes - live weight,51362,A,53154,A,40609,A,34054.8,A,19185,A
India,Tonnes - live weight,10235300,E,9408300,E,8641286,A,7933000,E,7247902,E
Indonesia,Tonnes - live weight,14633869.095,A,14493522.552,A,14845014.403,A,15425627.330,A,15771806,E
Iran (Islamic Republic of),Tonnes - live weight,480624,E,478737,A,480500,A,458131,A,439718,A
Iraq,Tonnes - live weight,23000,E,22694,A,22704,A,22269,A,25737,A
Ireland,Tonnes - live weight,44014,A,42099,A,37750.7,A,37913.7,A,36895.9,A
Israel,Tonnes - live weight,13840,E,14875,E,15280,E,16940,E,17025,E
Italy,Tonnes - live weight,132660.9,E,145861.9,A,125790.259,A,132377.8,E,145000.183,A
Jamaica,Tonnes - live weight,945,E,884.2,A,926.75,A,1161.45,A,1620.63,A
Japan,Tonnes - live weight,942560.2,A,959646.015,A,998938.829,A,946642.842,A,1034919.655,A
Jordan,Tonnes - live weight,2582,E,2145,E,2055,E,1940,E,1330,E
Kazakhstan,Tonnes - live weight,9438.316,A,5438.409,A,6804.56,A,6933.100,A,5653.269,A
