TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-06 17:00:00,1.0,43.2,-79.2,1.0,b'3388730765                      ',b'2cxjvyj',5.8,1.0
2025-04-06 18:00:00,1.0,43.2,-79.2,1.0,b'3388730766                      ',b'2cxjvyj',6.0,1.0
2025-04-06 20:00:00,1.0,43.6,-79.3,1.0,b'3388757407                      ',b'2cxjvyj',5.7,1.0
2025-04-07 22:00:00,1.0,43.6,-78.9,1.0,b'3389342298                      ',b'2cxjvyj',4.8,1.0
2025-04-07 23:00:00,1.0,43.6,-78.6,1.0,b'3389377113                      ',b'2cxjvyj',4.6,1.0
2025-04-08 00:00:00,1.0,43.6,-78.3,1.0,b'3389509778                      ',b'2cxjvyj',4.3,1.0
2025-04-08 01:00:00,1.0,43.6,-78.0,1.0,b'3389509779                      ',b'2cxjvyj',4.0,1.0
2025-04-08 02:00:00,1.0,43.6,-77.7,1.0,b'3389509780                      ',b'2cxjvyj',4.0,1.0
2025-04-08 10:00:00,1.0,44.2,-76.2,1.0,b'3389551293                      ',b'2cxjvyj',4.5,1.0
2025-04-10 14:00:00,1.0,45.4,-73.6,1.0,b'3390352571                      ',b'2cxjvyj',4.8,1.0
