TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-05 15:00:00,1.0,49.7,-128.0,1.0,b'3388376416                      ',b'2hdg4',12.0,1.0
2025-04-06 04:00:00,1.0,52.6,-132.5,1.0,b'3388582539                      ',b'2hdg4',12.0,1.0
2025-04-06 16:00:00,1.0,54.4,-137.5,1.0,b'3388731113                      ',b'2hdg4',8.0,1.0
2025-04-07 05:00:00,1.0,54.9,-143.7,1.0,b'3388956101                      ',b'2hdg4',6.0,1.0
2025-04-07 17:00:00,1.0,54.9,-150.1,1.0,b'3389316514                      ',b'2hdg4',6.0,1.0
2025-04-09 10:00:00,1.0,54.2,-170.2,1.0,b'3389928256                      ',b'2hdg4',4.0,1.0
2025-04-09 19:00:00,1.0,53.9,-174.9,1.0,b'3390068996                      ',b'2hdg4',4.0,1.0
2025-04-10 20:00:00,1.0,51.8,173.5,1.0,b'3390420305                      ',b'2hdg4',8.0,1.0
2025-04-12 00:00:00,1.0,47.7,161.8,1.0,b'3390987495                      ',b'2hdg4',6.0,1.0
2025-04-12 13:00:00,1.0,46.0,157.5,1.0,b'3391518393                      ',b'2hdg4',3.0,1.0
2025-04-12 22:00:00,1.0,44.4,154.6,1.0,b'3391584175                      ',b'2hdg4',5.0,1.0
2025-04-13 13:00:00,1.0,41.6,150.3,1.0,b'3391881337                      ',b'2hdg4',9.0,1.0
2025-04-14 00:00:00,1.0,39.7,147.3,1.0,b'3392107721                      ',b'2hdg4',13.0,1.0
2025-04-14 13:00:00,1.0,37.6,144.2,1.0,b'3392263162                      ',b'2hdg4',18.0,1.0
2025-04-15 00:00:00,1.0,36.3,142.3,1.0,b'3392686139                      ',b'2hdg4',18.0,1.0
