TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-01 10:00:00,1.0,70.2,17.7,1.0,b'3386584897                      ',b'2wdqb3e',2.4,1.0
2025-04-02 05:00:00,1.0,66.3,7.7,1.0,b'3387088536                      ',b'2wdqb3e',9.3,1.0
2025-04-02 13:00:00,1.0,63.9,5.0,1.0,b'3387055579                      ',b'2wdqb3e',9.7,1.0
2025-04-03 01:00:00,1.0,59.9,4.1,1.0,b'3387297307                      ',b'2wdqb3e',8.9,1.0
2025-04-03 17:00:00,1.0,58.5,5.2,1.0,b'3387478796                      ',b'2wdqb3e',8.0,1.0
2025-04-03 21:00:00,1.0,57.1,4.5,1.0,b'3387506888                      ',b'2wdqb3e',9.0,1.0
2025-04-04 01:00:00,1.0,55.8,3.8,1.0,b'3387698682                      ',b'2wdqb3e',8.4,1.0
2025-04-04 13:00:00,1.0,52.1,2.5,1.0,b'3387822565                      ',b'2wdqb3e',8.0,1.0
2025-04-04 17:00:00,1.0,51.3,1.8,1.0,b'3387860502                      ',b'2wdqb3e',10.0,1.0
2025-04-04 21:00:00,1.0,50.6,0.5,1.0,b'3387887315                      ',b'2wdqb3e',11.4,1.0
2025-04-05 01:00:00,1.0,50.6,-0.7,1.0,b'3388068287                      ',b'2wdqb3e',10.0,1.0
2025-04-05 10:00:00,1.0,50.8,-1.3,1.0,b'3388263888                      ',b'2wdqb3e',12.0,1.0
2025-04-05 14:00:00,1.0,50.5,-0.5,1.0,b'3388347789                      ',b'2wdqb3e',11.2,1.0
2025-04-05 18:00:00,1.0,50.6,1.1,1.0,b'3388376119                      ',b'2wdqb3e',11.0,1.0
2025-04-05 22:00:00,1.0,51.4,2.1,1.0,b'3388402583                      ',b'2wdqb3e',10.0,1.0
2025-04-06 02:00:00,1.0,51.8,3.3,1.0,b'3388581963                      ',b'2wdqb3e',8.0,1.0
2025-04-22 21:00:00,1.0,52.0,3.6,1.0,b'3395727527                      ',b'2wdqb3e',11.0,1.0
2025-04-23 06:00:00,1.0,50.7,0.8,1.0,b'3395871918                      ',b'2wdqb3e',11.8,1.0
2025-04-23 09:00:00,1.0,50.3,-0.9,1.0,b'3395912032                      ',b'2wdqb3e',11.8,1.0
2025-04-23 18:00:00,1.0,50.3,-1.7,1.0,b'3396034041                      ',b'2wdqb3e',12.0,1.0
2025-04-24 18:00:00,1.0,50.7,-0.9,1.0,b'3396432744                      ',b'2wdqb3e',13.0,1.0
2025-04-25 06:00:00,1.0,52.1,2.6,1.0,b'3396548243                      ',b'2wdqb3e',11.4,1.0
2025-04-25 10:00:00,1.0,53.4,2.7,1.0,b'3396728534                      ',b'2wdqb3e',10.0,1.0
2025-04-25 17:00:00,1.0,55.8,3.8,1.0,b'3396833797                      ',b'2wdqb3e',10.4,1.0
2025-04-25 21:00:00,1.0,57.0,4.4,1.0,b'3396860082                      ',b'2wdqb3e',9.0,1.0
2025-04-26 05:00:00,1.0,59.3,5.1,1.0,b'3397022804                      ',b'2wdqb3e',9.8,1.0
2025-04-26 13:00:00,1.0,59.4,5.2,1.0,b'3397140214                      ',b'2wdqb3e',10.3,1.0
2025-04-26 17:00:00,1.0,59.8,4.6,1.0,b'3397172616                      ',b'2wdqb3e',10.0,1.0
2025-04-28 02:00:00,1.0,62.4,5.0,1.0,b'3397717948                      ',b'2wdqb3e',8.0,1.0
2025-04-28 17:00:00,1.0,62.4,5.8,1.0,b'3398233438                      ',b'2wdqb3e',9.1,1.0
2025-04-29 17:00:00,1.0,66.3,10.7,1.0,b'3398545691                      ',b'2wdqb3e',8.9,1.0
2025-04-29 21:00:00,1.0,66.9,11.7,1.0,b'3398572039                      ',b'2wdqb3e',8.0,1.0
2025-04-30 17:00:00,1.0,68.0,13.5,1.0,b'3399027012                      ',b'2wdqb3e',6.6,1.0
2025-04-30 21:00:00,1.0,67.5,13.3,1.0,b'3399053240                      ',b'2wdqb3e',7.4,1.0
