TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-03 16:00:00,1.0,33.5,-76.7,1.0,b'3387479175                      ',b'3e3535',24.0,1.0
2025-04-04 16:00:00,1.0,38.3,-73.8,1.0,b'3387860826                      ',b'3e3535',9.0,1.0
2025-04-06 16:00:00,1.0,34.3,-74.8,1.0,b'3388731127                      ',b'3e3535',23.0,1.0
2025-04-13 16:00:00,1.0,34.0,-74.4,1.0,b'3391912222                      ',b'3e3535',23.0,1.0
2025-04-15 17:00:00,1.0,20.5,-74.1,1.0,b'3392854146                      ',b'3e3535',27.0,1.0
2025-04-16 17:00:00,1.0,15.3,-76.6,1.0,b'3393227070                      ',b'3e3535',27.0,1.0
2025-04-21 18:00:00,1.0,13.6,-95.0,1.0,b'3395304417                      ',b'3e3535',28.0,1.0
2025-04-22 19:00:00,1.0,17.4,-102.5,1.0,b'3395691501                      ',b'3e3535',29.0,1.0
2025-04-23 19:00:00,1.0,21.7,-109.4,1.0,b'3396062788                      ',b'3e3535',22.0,1.0
2025-04-24 20:00:00,1.0,26.5,-116.3,1.0,b'3396459757                      ',b'3e3535',18.0,1.0
2025-04-25 20:00:00,1.0,31.3,-123.1,1.0,b'3396860366                      ',b'3e3535',15.0,1.0
2025-04-26 21:00:00,1.0,37.1,-129.2,1.0,b'3397200061                      ',b'3e3535',13.0,1.0
2025-04-28 22:00:00,1.0,47.4,-144.3,1.0,b'3398259970                      ',b'3e3535',9.0,1.0
