TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-13 01:00:00,1.0,26.7,-35.3,1.0,b'3391761723                      ',b'3e7056',22.0,1.0
2025-04-15 06:00:00,1.0,20.3,-46.3,1.0,b'3392685984                      ',b'3e7056',25.0,1.0
2025-04-16 00:00:00,1.0,18.0,-50.0,1.0,b'3393064792                      ',b'3e7056',25.0,1.0
2025-04-20 18:00:00,1.0,12.1,-59.8,1.0,b'3394733450                      ',b'3e7056',28.0,1.0
2025-04-21 12:00:00,1.0,14.3,-56.7,1.0,b'3395055350                      ',b'3e7056',27.0,1.0
2025-04-22 06:00:00,1.0,16.5,-53.5,1.0,b'3395507422                      ',b'3e7056',23.0,1.0
2025-04-22 12:00:00,1.0,17.2,-52.5,1.0,b'3395632445                      ',b'3e7056',26.0,1.0
