country,unit,year,value,flag
Afghanistan,Tonnes - live weight,2018,7950.0,E
Albania,Tonnes - live weight,2018,6258.0,A
Algeria,Tonnes - live weight,2018,7153.416,A
American Samoa,Tonnes - live weight,2018,20.0,E
Angola,Tonnes - live weight,2018,1792.0,A
Antigua and Barbuda,Tonnes - live weight,2018,20.0,E
Argentina,Tonnes - live weight,2018,3205.31,A
Armenia,Tonnes - live weight,2018,17000.0,A
Aruba,Tonnes - live weight,2018,1.0,E
Australia,Tonnes - live weight,2018,96181.69,A
Austria,Tonnes - live weight,2018,3991.6,A
Azerbaijan,Tonnes - live weight,2018,3489.35,E
Bahamas,Tonnes - live weight,2018,6.84,A
Bahrain,Tonnes - live weight,2018,21.0,E
Bangladesh,Tonnes - live weight,2018,2405516.0,A
Barbados,Tonnes - live weight,2018,25.5,E
Belarus,Tonnes - live weight,2018,11580.9,A
Belgium,Tonnes - live weight,2018,111.0,A
Belize,Tonnes - live weight,2018,576.0,E
Benin,Tonnes - live weight,2018,5264.137,A
Bhutan,Tonnes - live weight,2018,223.62,A
Bolivia (Plurinational State of),Tonnes - live weight,2018,9177.0,E
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,2018,0.0,A
Bosnia and Herzegovina,Tonnes - live weight,2018,3678.8,A
Botswana,Tonnes - live weight,2018,25.0,E
Brazil,Tonnes - live weight,2018,581737.7,A
British Virgin Islands,Tonnes - live weight,2018,1.0,E
Brunei Darussalam,Tonnes - live weight,2018,1245.987,A
Bulgaria,Tonnes - live weight,2018,13770.455,A
Burkina Faso,Tonnes - live weight,2018,453.0,A
Burundi,Tonnes - live weight,2018,445.0,E
Cambodia,Tonnes - live weight,2018,254050.0,E
Cameroon,Tonnes - live weight,2018,5214.0,E
Canada,Tonnes - live weight,2018,190383.0,A
Cayman Islands,Tonnes - live weight,2018,10.0,E
Central African Republic,Tonnes - live weight,2018,204.0,E
Chad,Tonnes - live weight,2018,105.0,E
Chile,Tonnes - live weight,2018,1287232.6,A
China,Tonnes - live weight,2018,6.613506E7,A
"China, Hong Kong SAR",Tonnes - live weight,2018,4133.0,A
Colombia,Tonnes - live weight,2018,132756.22,A
Congo,Tonnes - live weight,2018,640.0,E
Cook Islands,Tonnes - live weight,2018,8.5,E
Costa Rica,Tonnes - live weight,2018,21955.0,E
C�te d'Ivoire,Tonnes - live weight,2018,4550.0,E
Croatia,Tonnes - live weight,2018,19680.309,A
Cuba,Tonnes - live weight,2018,28628.0,A
Cura�ao,Tonnes - live weight,2018,0.5,E
Cyprus,Tonnes - live weight,2018,7375.14,A
Czechia,Tonnes - live weight,2018,21751.0,A
Democratic People's Republic of Korea,Tonnes - live weight,2018,679060.0,E
Democratic Republic of the Congo,Tonnes - live weight,2018,3880.0,E
Denmark,Tonnes - live weight,2018,36453.0,E
Dominica,Tonnes - live weight,2018,0.0,E
Dominican Republic,Tonnes - live weight,2018,3009.0,E
Ecuador,Tonnes - live weight,2018,581450.0,E
Egypt,Tonnes - live weight,2018,1594231.0,A
El Salvador,Tonnes - live weight,2018,10913.22,A
Equatorial Guinea,Tonnes - live weight,2018,16.0,E
Eritrea,Tonnes - live weight,2018,3.0,E
Estonia,Tonnes - live weight,2018,943.661,A
Eswatini,Tonnes - live weight,2018,60.0,E
Ethiopia,Tonnes - live weight,2018,165.0,A
Falkland Islands (Malvinas),Tonnes - live weight,2018,0.0,A
Faroe Islands,Tonnes - live weight,2018,78975.0,E
Fiji,Tonnes - live weight,2018,300.0,E
Finland,Tonnes - live weight,2018,14163.7,A
France,Tonnes - live weight,2018,187485.08,A
French Guiana,Tonnes - live weight,2018,2.0,E
French Polynesia,Tonnes - live weight,2018,1859.397,A
Gabon,Tonnes - live weight,2018,62.0,E
Gambia,Tonnes - live weight,2018,55.0,E
Georgia,Tonnes - live weight,2018,2381.5,A
Germany,Tonnes - live weight,2018,34196.0,A
Ghana,Tonnes - live weight,2018,76630.0,E
Greece,Tonnes - live weight,2018,132364.52,A
Grenada,Tonnes - live weight,2018,20.5,E
Guadeloupe,Tonnes - live weight,2018,24.0,E
Guam,Tonnes - live weight,2018,103.0,E
Guatemala,Tonnes - live weight,2018,28317.0,A
Guernsey,Tonnes - live weight,2018,30.0,E
Guinea,Tonnes - live weight,2018,686.6,A
Guinea-Bissau,Tonnes - live weight,2018,25.0,E
Guyana,Tonnes - live weight,2018,306.76,A
Haiti,Tonnes - live weight,2018,1430.0,E
Honduras,Tonnes - live weight,2018,65000.0,E
Hungary,Tonnes - live weight,2018,17852.3,A
Iceland,Tonnes - live weight,2018,19185.0,A
India,Tonnes - live weight,2018,7247902.0,E
Indonesia,Tonnes - live weight,2018,1.5771806E7,E
Iran (Islamic Republic of),Tonnes - live weight,2018,439718.0,A
Iraq,Tonnes - live weight,2018,25737.0,A
Ireland,Tonnes - live weight,2018,36895.9,A
Israel,Tonnes - live weight,2018,17025.0,E
Italy,Tonnes - live weight,2018,145000.19,A
Jamaica,Tonnes - live weight,2018,1494.0,A
Japan,Tonnes - live weight,2018,1034919.6,A
Jersey,Tonnes - live weight,2018,1435.6,A
Jordan,Tonnes - live weight,2018,1330.0,E
Kazakhstan,Tonnes - live weight,2018,5653.269,A
Kenya,Tonnes - live weight,2018,16957.0,E
Kiribati,Tonnes - live weight,2018,2.0,E
Kuwait,Tonnes - live weight,2018,207.65,A
Kyrgyzstan,Tonnes - live weight,2018,2558.7,A
Lao People's Democratic Republic,Tonnes - live weight,2018,118700.0,E
Latvia,Tonnes - live weight,2018,829.66,A
Lebanon,Tonnes - live weight,2018,940.0,E
Lesotho,Tonnes - live weight,2018,2500.46,A
Liberia,Tonnes - live weight,2018,685.0,E
Libya,Tonnes - live weight,2018,10.0,E
Lithuania,Tonnes - live weight,2018,3744.43,A
Madagascar,Tonnes - live weight,2018,12775.057,A
Malawi,Tonnes - live weight,2018,9014.0,A
Malaysia,Tonnes - live weight,2018,391977.47,A
Maldives,Tonnes - live weight,2018,2.0,E
Mali,Tonnes - live weight,2018,5327.0,A
Malta,Tonnes - live weight,2018,19291.375,A
Marshall Islands,Tonnes - live weight,2018,2.27,A
Martinique,Tonnes - live weight,2018,49.0,E
Mauritius,Tonnes - live weight,2018,2069.6,A
Mayotte,Tonnes - live weight,2018,20.0,E
Mexico,Tonnes - live weight,2018,247222.42,A
Micronesia (Federated States of),Tonnes - live weight,2018,0.5,E
Montenegro,Tonnes - live weight,2018,1097.0,A
Morocco,Tonnes - live weight,2018,1266.906,A
Mozambique,Tonnes - live weight,2018,2664.0,A
Myanmar,Tonnes - live weight,2018,1131570.5,A
Namibia,Tonnes - live weight,2018,342.48,A
Nauru,Tonnes - live weight,2018,0.5,E
Nepal,Tonnes - live weight,2018,65864.0,A
Netherlands (Kingdom of the),Tonnes - live weight,2018,53542.0,E
New Caledonia,Tonnes - live weight,2018,1640.3,A
New Zealand,Tonnes - live weight,2018,104549.0,A
Nicaragua,Tonnes - live weight,2018,29473.4,A
Niger,Tonnes - live weight,2018,350.0,E
Nigeria,Tonnes - live weight,2018,291323.0,A
Northern Mariana Islands,Tonnes - live weight,2018,42.0,E
North Macedonia,Tonnes - live weight,2018,1359.3,E
Norway,Tonnes - live weight,2018,1355116.8,A
Oman,Tonnes - live weight,2018,451.45,A
Pakistan,Tonnes - live weight,2018,159706.0,A
Palau,Tonnes - live weight,2018,22.7,E
Palestine,Tonnes - live weight,2018,749.0,A
Panama,Tonnes - live weight,2018,8825.4,A
Papua New Guinea,Tonnes - live weight,2018,2471.1,E
Paraguay,Tonnes - live weight,2018,11536.0,A
Peru,Tonnes - live weight,2018,141224.38,A
Philippines,Tonnes - live weight,2018,2304360.8,A
Poland,Tonnes - live weight,2018,36806.31,A
Portugal,Tonnes - live weight,2018,13991.176,A
Puerto Rico,Tonnes - live weight,2018,16.0,E
Qatar,Tonnes - live weight,2018,10.0,A
Republic of Korea,Tonnes - live weight,2018,2278770.0,E
Republic of Moldova,Tonnes - live weight,2018,12610.0,A
R�union,Tonnes - live weight,2018,33.0,E
Romania,Tonnes - live weight,2018,12298.45,A
Russian Federation,Tonnes - live weight,2018,204032.0,A
Rwanda,Tonnes - live weight,2018,3559.0,A
Saint Kitts and Nevis,Tonnes - live weight,2018,2.5,E
Saint Lucia,Tonnes - live weight,2018,60.0,E
Saint Pierre and Miquelon,Tonnes - live weight,2018,49.0,A
Saint Vincent and the Grenadines,Tonnes - live weight,2018,1.0,A
Samoa,Tonnes - live weight,2018,14.929,A
Saudi Arabia,Tonnes - live weight,2018,72025.0,E
Senegal,Tonnes - live weight,2018,1108.0,A
Serbia,Tonnes - live weight,2018,7338.7,A
Seychelles,Tonnes - live weight,2018,0.0,A
Sierra Leone,Tonnes - live weight,2018,100.0,E
Singapore,Tonnes - live weight,2018,5701.649,A
Slovakia,Tonnes - live weight,2018,2224.41,A
Slovenia,Tonnes - live weight,2018,1943.5,A
Solomon Islands,Tonnes - live weight,2018,5526.5,A
South Africa,Tonnes - live weight,2018,7991.55,A
