country,unit,year,value,flag
South Sudan,Tonnes - live weight,2018,30.0,E
Spain,Tonnes - live weight,2018,353903.0,A
Sri Lanka,Tonnes - live weight,2018,30921.46,A
Sudan,Tonnes - live weight,2018,6500.0,E
Suriname,Tonnes - live weight,2018,72.4,A
Sweden,Tonnes - live weight,2018,13095.0,A
Switzerland,Tonnes - live weight,2018,1843.0,A
Syrian Arab Republic,Tonnes - live weight,2018,2225.0,E
Taiwan Province of China,Tonnes - live weight,2018,284392.25,A
Tajikistan,Tonnes - live weight,2018,512.0,E
Thailand,Tonnes - live weight,2018,921313.1,A
Timor-Leste,Tonnes - live weight,2018,981.0,E
Togo,Tonnes - live weight,2018,290.0,A
Tonga,Tonnes - live weight,2018,80.0,E
Trinidad and Tobago,Tonnes - live weight,2018,7.45,A
Tunisia,Tonnes - live weight,2018,21826.2,A
T�rkiye,Tonnes - live weight,2018,314537.0,A
Turkmenistan,Tonnes - live weight,2018,120.0,E
Turks and Caicos Islands,Tonnes - live weight,2018,0.5,E
Tuvalu,Tonnes - live weight,2018,0.4,A
Uganda,Tonnes - live weight,2018,103737.0,A
Ukraine,Tonnes - live weight,2018,18595.43,A
United Arab Emirates,Tonnes - live weight,2018,3230.0,E
United Kingdom of Great Britain and Northern Ireland,Tonnes - live weight,2018,189921.36,A
United Republic of Tanzania,Tonnes - live weight,2018,16852.22,A
"United Republic of Tanzania, Zanzibar",Tonnes - live weight,2018,104266.23,A
United States of America,Tonnes - live weight,2018,471429.84,A
United States Virgin Islands,Tonnes - live weight,2018,8.0,E
Uruguay,Tonnes - live weight,2018,104.774,A
Uzbekistan,Tonnes - live weight,2018,57384.0,E
Vanuatu,Tonnes - live weight,2018,16.205,E
Venezuela (Bolivarian Republic of),Tonnes - live weight,2018,25911.0,E
Viet Nam,Tonnes - live weight,2018,4192822.5,A
Yemen,Tonnes - live weight,2018,10.0,E
Zambia,Tonnes - live weight,2018,29565.0,E
Zimbabwe,Tonnes - live weight,2018,18759.33,A
