country,unit,year,value,flag
Morocco,Tonnes - live weight,2021,2006.299,A
Mozambique,Tonnes - live weight,2021,4143.0,A
Myanmar,Tonnes - live weight,2021,1167356.8,A
Namibia,Tonnes - live weight,2021,321.0,E
Nauru,Tonnes - live weight,2021,0.5,E
Nepal,Tonnes - live weight,2021,84291.0,A
Netherlands (Kingdom of the),Tonnes - live weight,2021,40690.0,E
New Caledonia,Tonnes - live weight,2021,1436.522,A
New Zealand,Tonnes - live weight,2021,116839.0,A
Nicaragua,Tonnes - live weight,2021,31005.9,A
Niger,Tonnes - live weight,2021,472.0,A
Nigeria,Tonnes - live weight,2021,275645.0,A
Northern Mariana Islands,Tonnes - live weight,2021,41.0,E
North Macedonia,Tonnes - live weight,2021,1660.51,A
Norway,Tonnes - live weight,2021,1665112.0,A
Oman,Tonnes - live weight,2021,1703.0,A
Pakistan,Tonnes - live weight,2021,164527.0,A
Palau,Tonnes - live weight,2021,11.2,E
Palestine,Tonnes - live weight,2021,697.0,A
Panama,Tonnes - live weight,2021,6724.44,A
Papua New Guinea,Tonnes - live weight,2021,2342.0,E
Paraguay,Tonnes - live weight,2021,14150.0,A
Peru,Tonnes - live weight,2021,150817.6,A
Philippines,Tonnes - live weight,2021,2246315.8,A
Poland,Tonnes - live weight,2021,44787.0,A
Portugal,Tonnes - live weight,2021,19516.475,A
Puerto Rico,Tonnes - live weight,2021,11.0,E
Qatar,Tonnes - live weight,2021,113.9,A
Republic of Korea,Tonnes - live weight,2021,2437754.8,A
Republic of Moldova,Tonnes - live weight,2021,12905.0,A
Réunion,Tonnes - live weight,2021,67.5,E
Romania,Tonnes - live weight,2021,11714.0,A
Russian Federation,Tonnes - live weight,2021,319342.0,A
Rwanda,Tonnes - live weight,2021,10313.3,A
Saint Kitts and Nevis,Tonnes - live weight,2021,3.5,E
Saint Lucia,Tonnes - live weight,2021,210.72,A
Saint Pierre and Miquelon,Tonnes - live weight,2021,0.0,A
Saint Vincent and the Grenadines,Tonnes - live weight,2021,13.0,E
Samoa,Tonnes - live weight,2021,10.0,E
Saudi Arabia,Tonnes - live weight,2021,114489.66,A
Senegal,Tonnes - live weight,2021,1150.5,E
Serbia,Tonnes - live weight,2021,7307.89,A
Seychelles,Tonnes - live weight,2021,0.0,A
Sierra Leone,Tonnes - live weight,2021,125.0,E
Singapore,Tonnes - live weight,2021,5243.564,A
Slovakia,Tonnes - live weight,2021,2514.0,E
Slovenia,Tonnes - live weight,2021,1685.9,A
Solomon Islands,Tonnes - live weight,2021,12463.74,A
South Africa,Tonnes - live weight,2021,10346.65,A
South Sudan,Tonnes - live weight,2021,45.0,E
Spain,Tonnes - live weight,2021,279912.06,A
Sri Lanka,Tonnes - live weight,2021,50977.227,A
Sudan,Tonnes - live weight,2021,9000.0,E
Suriname,Tonnes - live weight,2021,40.0,E
Sweden,Tonnes - live weight,2021,15403.0,A
Switzerland,Tonnes - live weight,2021,2364.0,A
Syrian Arab Republic,Tonnes - live weight,2021,1805.0,E
Taiwan Province of China,Tonnes - live weight,2021,274789.6,A
Tajikistan,Tonnes - live weight,2021,2039.0,E
Thailand,Tonnes - live weight,2021,990854.0,A
Timor-Leste,Tonnes - live weight,2021,1091.0,E
Togo,Tonnes - live weight,2021,882.0,A
Tonga,Tonnes - live weight,2021,100.0,E
Trinidad and Tobago,Tonnes - live weight,2021,18.2,A
Tunisia,Tonnes - live weight,2021,26099.186,A
Türkiye,Tonnes - live weight,2021,471686.0,A
Turkmenistan,Tonnes - live weight,2021,160.0,E
Turks and Caicos Islands,Tonnes - live weight,2021,0.0,A
Tuvalu,Tonnes - live weight,2021,1.0,E
Uganda,Tonnes - live weight,2021,138558.4,A
Ukraine,Tonnes - live weight,2021,16881.809,A
United Arab Emirates,Tonnes - live weight,2021,2662.942,A
United Kingdom of Great Britain and Northern Ireland,Tonnes - live weight,2021,239285.23,A
United Republic of Tanzania,Tonnes - live weight,2021,64904.344,A
"United Republic of Tanzania, Zanzibar",Tonnes - live weight,2021,105329.0,A
United States of America,Tonnes - live weight,2021,461639.12,A
United States Virgin Islands,Tonnes - live weight,2021,8.0,E
Uruguay,Tonnes - live weight,2021,83.9,E
Uzbekistan,Tonnes - live weight,2021,118933.0,E
Vanuatu,Tonnes - live weight,2021,3.0,E
Venezuela (Bolivarian Republic of),Tonnes - live weight,2021,53105.0,E
Viet Nam,Tonnes - live weight,2021,4750174.0,A
Yemen,Tonnes - live weight,2021,10.0,E
Zambia,Tonnes - live weight,2021,63355.0,A
Zimbabwe,Tonnes - live weight,2021,5057.82,A
