country,unit,year,value,flag
Afghanistan,Tonnes - live weight,2020,9444.0,E
Albania,Tonnes - live weight,2020,9084.0,A
Algeria,Tonnes - live weight,2020,5435.986,A
American Samoa,Tonnes - live weight,2020,15.0,E
Angola,Tonnes - live weight,2020,2062.0,A
Antigua and Barbuda,Tonnes - live weight,2020,20.0,E
Argentina,Tonnes - live weight,2020,2084.5,A
Armenia,Tonnes - live weight,2020,18350.0,E
Aruba,Tonnes - live weight,2020,1.5,E
Australia,Tonnes - live weight,2020,102674.9,A
Austria,Tonnes - live weight,2020,4541.911,A
Azerbaijan,Tonnes - live weight,2020,533.0,A
Bahamas,Tonnes - live weight,2020,6.0,E
Bahrain,Tonnes - live weight,2020,46.0,E
Bangladesh,Tonnes - live weight,2020,2583866.0,A
Barbados,Tonnes - live weight,2020,25.5,E
Belarus,Tonnes - live weight,2020,9266.33,A
Belgium,Tonnes - live weight,2020,209.0,A
Belize,Tonnes - live weight,2020,559.0,E
Benin,Tonnes - live weight,2020,3136.908,A
Bhutan,Tonnes - live weight,2020,181.0,A
Bolivia (Plurinational State of),Tonnes - live weight,2020,15542.0,E
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,2020,0.2,E
Bosnia and Herzegovina,Tonnes - live weight,2020,3815.8,A
Botswana,Tonnes - live weight,2020,146.0,A
Brazil,Tonnes - live weight,2020,630800.2,A
British Virgin Islands,Tonnes - live weight,2020,1.0,E
Brunei Darussalam,Tonnes - live weight,2020,3500.047,A
Bulgaria,Tonnes - live weight,2020,15051.813,A
Burkina Faso,Tonnes - live weight,2020,701.0,A
Burundi,Tonnes - live weight,2020,490.0,E
Cabo Verde,Tonnes - live weight,2020,22.0,A
Cambodia,Tonnes - live weight,2020,400400.0,E
Cameroon,Tonnes - live weight,2020,8508.0,E
Canada,Tonnes - live weight,2020,169800.0,A
Cayman Islands,Tonnes - live weight,2020,82.0,E
Central African Republic,Tonnes - live weight,2020,204.0,E
Chad,Tonnes - live weight,2020,105.0,E
Channel Islands,Tonnes - live weight,2020,1107.372,A
Chile,Tonnes - live weight,2020,1505486.0,A
China,Tonnes - live weight,2020,7.0483536E7,A
"China, Hong Kong SAR",Tonnes - live weight,2020,3834.7,A
Colombia,Tonnes - live weight,2020,179350.98,A
Congo,Tonnes - live weight,2020,900.0,A
Cook Islands,Tonnes - live weight,2020,8.5,E
Costa Rica,Tonnes - live weight,2020,16268.95,A
Côte d'Ivoire,Tonnes - live weight,2020,5420.0,E
Croatia,Tonnes - live weight,2020,21718.27,A
Cuba,Tonnes - live weight,2020,25910.0,A
Cyprus,Tonnes - live weight,2020,7342.6,A
Czechia,Tonnes - live weight,2020,20401.0,A
Democratic People's Republic of Korea,Tonnes - live weight,2020,680300.0,E
Democratic Republic of the Congo,Tonnes - live weight,2020,4690.0,E
Denmark,Tonnes - live weight,2020,42629.0,A
Dominica,Tonnes - live weight,2020,0.1,E
Dominican Republic,Tonnes - live weight,2020,3430.0,E
Ecuador,Tonnes - live weight,2020,774588.56,A
Egypt,Tonnes - live weight,2020,1591896.0,A
El Salvador,Tonnes - live weight,2020,8378.0,A
Equatorial Guinea,Tonnes - live weight,2020,15.0,E
Eritrea,Tonnes - live weight,2020,4.0,E
Estonia,Tonnes - live weight,2020,1090.15,A
Eswatini,Tonnes - live weight,2020,100.0,E
Ethiopia,Tonnes - live weight,2020,534.0,A
Falkland Islands (Malvinas),Tonnes - live weight,2020,0.0,A
Faroe Islands,Tonnes - live weight,2020,89055.0,E
Fiji,Tonnes - live weight,2020,322.3,E
Finland,Tonnes - live weight,2020,15052.9,A
France,Tonnes - live weight,2020,191050.4,A
French Guiana,Tonnes - live weight,2020,2.0,E
French Polynesia,Tonnes - live weight,2020,1469.417,A
Gabon,Tonnes - live weight,2020,72.0,E
Gambia,Tonnes - live weight,2020,33.0,E
Georgia,Tonnes - live weight,2020,2026.9,A
Germany,Tonnes - live weight,2020,32258.0,A
Ghana,Tonnes - live weight,2020,64010.0,E
Greece,Tonnes - live weight,2020,131737.17,A
Grenada,Tonnes - live weight,2020,22.5,E
Guadeloupe,Tonnes - live weight,2020,45.0,E
Guam,Tonnes - live weight,2020,108.0,E
Guatemala,Tonnes - live weight,2020,33651.0,A
Guinea,Tonnes - live weight,2020,1135.0,A
Guinea-Bissau,Tonnes - live weight,2020,15.0,E
Guyana,Tonnes - live weight,2020,137.626,A
Haiti,Tonnes - live weight,2020,1560.0,E
Honduras,Tonnes - live weight,2020,71151.1,E
Hungary,Tonnes - live weight,2020,18373.346,A
Iceland,Tonnes - live weight,2020,40609.0,A
India,Tonnes - live weight,2020,8641286.0,A
Indonesia,Tonnes - live weight,2020,1.4845014E7,A
Iran (Islamic Republic of),Tonnes - live weight,2020,480500.0,A
Iraq,Tonnes - live weight,2020,22704.0,A
Ireland,Tonnes - live weight,2020,37750.7,A
Israel,Tonnes - live weight,2020,15280.0,E
Italy,Tonnes - live weight,2020,125790.26,A
Jamaica,Tonnes - live weight,2020,926.75,A
Japan,Tonnes - live weight,2020,998938.8,A
Jordan,Tonnes - live weight,2020,2055.0,E
Kazakhstan,Tonnes - live weight,2020,6804.56,A
Kenya,Tonnes - live weight,2020,24763.0,E
Kiribati,Tonnes - live weight,2020,2.0,E
Kuwait,Tonnes - live weight,2020,462.0,E
Kyrgyzstan,Tonnes - live weight,2020,5100.0,E
Lao People's Democratic Republic,Tonnes - live weight,2020,130020.0,E
Latvia,Tonnes - live weight,2020,717.45,A
Lebanon,Tonnes - live weight,2020,933.0,E
Lesotho,Tonnes - live weight,2020,2601.0,E
Liberia,Tonnes - live weight,2020,1030.0,E
Libya,Tonnes - live weight,2020,10.0,E
Lithuania,Tonnes - live weight,2020,4477.45,A
Madagascar,Tonnes - live weight,2020,13555.45,A
Malawi,Tonnes - live weight,2020,9393.0,A
Malaysia,Tonnes - live weight,2020,400517.0,A
Mali,Tonnes - live weight,2020,7686.0,A
Malta,Tonnes - live weight,2020,19829.521,A
Marshall Islands,Tonnes - live weight,2020,9.66,A
Martinique,Tonnes - live weight,2020,42.0,E
Mauritius,Tonnes - live weight,2020,3298.0,A
Mayotte,Tonnes - live weight,2020,0.0,E
Mexico,Tonnes - live weight,2020,348601.75,A
Micronesia (Federated States of),Tonnes - live weight,2020,0.5,E
Montenegro,Tonnes - live weight,2020,885.0,A
Morocco,Tonnes - live weight,2020,1618.0,A
Mozambique,Tonnes - live weight,2020,3327.0,A
Myanmar,Tonnes - live weight,2020,1144813.0,A
Namibia,Tonnes - live weight,2020,320.715,A
Nauru,Tonnes - live weight,2020,0.5,E
Nepal,Tonnes - live weight,2020,76822.0,A
Netherlands (Kingdom of the),Tonnes - live weight,2020,40290.0,E
New Caledonia,Tonnes - live weight,2020,1477.889,A
New Zealand,Tonnes - live weight,2020,118582.0,A
Nicaragua,Tonnes - live weight,2020,29489.0,A
Niger,Tonnes - live weight,2020,649.0,A
Nigeria,Tonnes - live weight,2020,261710.72,A
Northern Mariana Islands,Tonnes - live weight,2020,41.0,E
North Macedonia,Tonnes - live weight,2020,1633.891,A
Norway,Tonnes - live weight,2020,1490412.0,A
Oman,Tonnes - live weight,2020,1307.0,A
Pakistan,Tonnes - live weight,2020,162462.0,A
Palau,Tonnes - live weight,2020,15.0,E
Palestine,Tonnes - live weight,2020,645.0,E
Panama,Tonnes - live weight,2020,3909.098,A
Papua New Guinea,Tonnes - live weight,2020,2322.0,E
Paraguay,Tonnes - live weight,2020,14100.0,A
Peru,Tonnes - live weight,2020,143829.72,A
Philippines,Tonnes - live weight,2020,2322831.5,A
Poland,Tonnes - live weight,2020,47700.0,E
Portugal,Tonnes - live weight,2020,20583.01,A
