country,unit,year,value,flag
Afghanistan,Tonnes - live weight,2019,8629.0,E
Albania,Tonnes - live weight,2019,6300.0,A
Algeria,Tonnes - live weight,2019,4835.467,A
American Samoa,Tonnes - live weight,2019,20.0,E
Angola,Tonnes - live weight,2019,1934.0,A
Antigua and Barbuda,Tonnes - live weight,2019,20.0,E
Argentina,Tonnes - live weight,2019,2592.19,A
Armenia,Tonnes - live weight,2019,17560.0,E
Aruba,Tonnes - live weight,2019,1.5,E
Australia,Tonnes - live weight,2019,90879.91,A
Austria,Tonnes - live weight,2019,4255.025,A
Azerbaijan,Tonnes - live weight,2019,531.4,A
Bahamas,Tonnes - live weight,2019,6.0,E
Bahrain,Tonnes - live weight,2019,36.0,E
Bangladesh,Tonnes - live weight,2019,2488600.0,A
Barbados,Tonnes - live weight,2019,25.5,E
Belarus,Tonnes - live weight,2019,9590.7,A
Belgium,Tonnes - live weight,2019,86.0,A
Belize,Tonnes - live weight,2019,579.0,E
Benin,Tonnes - live weight,2019,5892.447,A
Bhutan,Tonnes - live weight,2019,209.27,A
Bolivia (Plurinational State of),Tonnes - live weight,2019,11734.0,A
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,2019,0.0,E
Bosnia and Herzegovina,Tonnes - live weight,2019,3997.4,A
Botswana,Tonnes - live weight,2019,35.0,E
Brazil,Tonnes - live weight,2019,600600.06,A
British Virgin Islands,Tonnes - live weight,2019,1.0,E
Brunei Darussalam,Tonnes - live weight,2019,933.195,A
Bulgaria,Tonnes - live weight,2019,16500.82,A
Burkina Faso,Tonnes - live weight,2019,600.0,A
Burundi,Tonnes - live weight,2019,495.0,E
Cabo Verde,Tonnes - live weight,2019,5.0,A
Cambodia,Tonnes - live weight,2019,307408.0,E
Cameroon,Tonnes - live weight,2019,6908.0,E
Canada,Tonnes - live weight,2019,187248.0,A
Cayman Islands,Tonnes - live weight,2019,79.0,E
Central African Republic,Tonnes - live weight,2019,204.0,E
Chad,Tonnes - live weight,2019,105.0,E
Channel Islands,Tonnes - live weight,2019,1378.199,A
Chile,Tonnes - live weight,2019,1407289.0,A
China,Tonnes - live weight,2019,6.8423856E7,A
"China, Hong Kong SAR",Tonnes - live weight,2019,3787.1,A
Colombia,Tonnes - live weight,2019,171025.44,A
Congo,Tonnes - live weight,2019,731.0,A
Cook Islands,Tonnes - live weight,2019,8.5,E
Costa Rica,Tonnes - live weight,2019,22046.0,E
Côte d'Ivoire,Tonnes - live weight,2019,5020.0,E
Croatia,Tonnes - live weight,2019,20442.967,A
Cuba,Tonnes - live weight,2019,26922.2,A
Cyprus,Tonnes - live weight,2019,8079.13,A
Czechia,Tonnes - live weight,2019,20986.0,A
Democratic People's Republic of Korea,Tonnes - live weight,2019,679560.0,E
