country,unit,year,value,flag
Afghanistan,Tonnes - live weight,2022,11150.0,E
Albania,Tonnes - live weight,2022,8812.0,A
Algeria,Tonnes - live weight,2022,5208.0,E
American Samoa,Tonnes - live weight,2022,18.0,E
Angola,Tonnes - live weight,2022,2336.0,A
Antigua and Barbuda,Tonnes - live weight,2022,20.0,E
Argentina,Tonnes - live weight,2022,6022.03,A
Armenia,Tonnes - live weight,2022,24000.0,A
Aruba,Tonnes - live weight,2022,1.5,E
Australia,Tonnes - live weight,2022,125230.53,A
Austria,Tonnes - live weight,2022,4718.718,A
Azerbaijan,Tonnes - live weight,2022,466.0,A
Bahamas,Tonnes - live weight,2022,1.0,E
Bahrain,Tonnes - live weight,2022,56.0,E
Bangladesh,Tonnes - live weight,2022,2731070.0,A
Barbados,Tonnes - live weight,2022,5.5,E
Belarus,Tonnes - live weight,2022,7164.4,A
Belgium,Tonnes - live weight,2022,243.0,A
Belize,Tonnes - live weight,2022,1130.0,E
Benin,Tonnes - live weight,2022,4550.0,E
Bhutan,Tonnes - live weight,2022,190.879,E
Bolivia (Plurinational State of),Tonnes - live weight,2022,21483.0,A
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,2022,0.5,E
Bosnia and Herzegovina,Tonnes - live weight,2022,3959.9,A
Botswana,Tonnes - live weight,2022,171.0,E
Brazil,Tonnes - live weight,2022,738881.0,A
British Virgin Islands,Tonnes - live weight,2022,1.0,E
Brunei Darussalam,Tonnes - live weight,2022,5020.0,E
Bulgaria,Tonnes - live weight,2022,9510.78,A
Burkina Faso,Tonnes - live weight,2022,894.0,A
Burundi,Tonnes - live weight,2022,540.0,E
Cabo Verde,Tonnes - live weight,2022,35.0,A
Cambodia,Tonnes - live weight,2022,330600.0,E
Cameroon,Tonnes - live weight,2022,10118.0,E
Canada,Tonnes - live weight,2022,166463.0,A
Cayman Islands,Tonnes - live weight,2022,88.0,E
Central African Republic,Tonnes - live weight,2022,215.0,E
Chad,Tonnes - live weight,2022,120.0,E
Channel Islands,Tonnes - live weight,2022,1190.0,E
Chile,Tonnes - live weight,2022,1524149.0,A
China,Tonnes - live weight,2022,7.538864E7,A
"China, Hong Kong SAR",Tonnes - live weight,2022,3361.2,A
Colombia,Tonnes - live weight,2022,204941.98,A
Congo,Tonnes - live weight,2022,976.6,A
Cook Islands,Tonnes - live weight,2022,8.5,E
Costa Rica,Tonnes - live weight,2022,16772.41,A
Côte d'Ivoire,Tonnes - live weight,2022,6200.0,E
Croatia,Tonnes - live weight,2022,27156.05,A
Cuba,Tonnes - live weight,2022,15389.4,A
Cyprus,Tonnes - live weight,2022,7593.9,A
Czechia,Tonnes - live weight,2022,19259.0,A
Democratic People's Republic of Korea,Tonnes - live weight,2022,680700.0,E
Democratic Republic of the Congo,Tonnes - live weight,2022,5295.0,E
Denmark,Tonnes - live weight,2022,37921.2,A
Dominica,Tonnes - live weight,2022,2.5,E
Dominican Republic,Tonnes - live weight,2022,3750.0,E
Ecuador,Tonnes - live weight,2022,1123048.0,E
Egypt,Tonnes - live weight,2022,1552430.0,A
El Salvador,Tonnes - live weight,2022,12919.0,E
Equatorial Guinea,Tonnes - live weight,2022,15.0,E
Eritrea,Tonnes - live weight,2022,4.0,E
Estonia,Tonnes - live weight,2022,800.819,A
Eswatini,Tonnes - live weight,2022,100.0,E
Ethiopia,Tonnes - live weight,2022,1070.0,A
Falkland Islands (Malvinas),Tonnes - live weight,2022,0.0,A
Faroe Islands,Tonnes - live weight,2022,108745.0,E
Fiji,Tonnes - live weight,2022,211.0,E
Finland,Tonnes - live weight,2022,16280.6,A
France,Tonnes - live weight,2022,200490.31,A
French Guiana,Tonnes - live weight,2022,3.0,E
French Polynesia,Tonnes - live weight,2022,1752.489,A
Gabon,Tonnes - live weight,2022,87.0,E
Gambia,Tonnes - live weight,2022,42.0,E
Georgia,Tonnes - live weight,2022,2743.2,A
Germany,Tonnes - live weight,2022,26545.0,A
Ghana,Tonnes - live weight,2022,132682.0,A
Greece,Tonnes - live weight,2022,142007.6,A
Grenada,Tonnes - live weight,2022,26.0,E
Guadeloupe,Tonnes - live weight,2022,53.0,E
Guam,Tonnes - live weight,2022,108.0,E
Guatemala,Tonnes - live weight,2022,42313.4,A
Guinea,Tonnes - live weight,2022,1180.0,E
Guinea-Bissau,Tonnes - live weight,2022,15.0,E
Guyana,Tonnes - live weight,2022,953.4,A
Haiti,Tonnes - live weight,2022,1685.0,E
Honduras,Tonnes - live weight,2022,73193.0,E
Hungary,Tonnes - live weight,2022,18947.764,A
Iceland,Tonnes - live weight,2022,51362.0,A
India,Tonnes - live weight,2022,1.02353E7,E
Indonesia,Tonnes - live weight,2022,1.4633869E7,A
