TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-02 06:00:00,1.0,10.9,71.0,1.0,b'3386940303                      ',b'3e2032',30.0,1.0
2025-04-03 06:00:00,1.0,7.6,75.3,1.0,b'3387297692                      ',b'3e2032',31.0,1.0
2025-04-04 00:00:00,1.0,5.9,78.9,1.0,b'3387699100                      ',b'3e2032',26.0,1.0
2025-04-04 06:00:00,1.0,5.5,80.2,1.0,b'3387741101                      ',b'3e2032',30.0,1.0
2025-04-04 18:00:00,1.0,5.5,82.9,1.0,b'3387860394                      ',b'3e2032',31.0,1.0
2025-04-05 00:00:00,1.0,5.5,84.2,1.0,b'3388068700                      ',b'3e2032',30.0,1.0
2025-04-05 06:00:00,1.0,5.5,85.6,1.0,b'3388264163                      ',b'3e2032',30.0,1.0
2025-04-05 18:00:00,1.0,5.5,88.2,1.0,b'3388432724                      ',b'3e2032',30.0,1.0
2025-04-06 00:00:00,1.0,5.5,89.6,1.0,b'3388582390                      ',b'3e2032',30.0,1.0
2025-04-06 06:00:00,1.0,5.5,90.9,1.0,b'3388696829                      ',b'3e2032',30.0,1.0
2025-04-06 12:00:00,1.0,5.5,92.2,1.0,b'3388696830                      ',b'3e2032',30.0,1.0
2025-04-06 18:00:00,1.0,5.8,93.5,1.0,b'3388787185                      ',b'3e2032',30.0,1.0
2025-04-07 00:00:00,1.0,6.3,94.7,1.0,b'3388955948                      ',b'3e2032',30.0,1.0
2025-04-07 12:00:00,1.0,6.0,97.3,1.0,b'3389076429                      ',b'3e2032',30.0,1.0
2025-04-07 18:00:00,1.0,5.4,98.4,1.0,b'3389377032                      ',b'3e2032',30.0,1.0
2025-04-08 00:00:00,1.0,4.5,99.3,1.0,b'3389510111                      ',b'3e2032',30.0,1.0
2025-04-10 00:00:00,1.0,3.8,105.6,1.0,b'3390194608                      ',b'3e2032',30.0,1.0
2025-04-10 12:00:00,1.0,5.9,107.3,1.0,b'3390352493                      ',b'3e2032',28.0,1.0
2025-04-10 18:00:00,1.0,7.0,108.1,1.0,b'3390419812                      ',b'3e2032',28.0,1.0
2025-04-11 00:00:00,1.0,8.0,109.1,1.0,b'3390610275                      ',b'3e2032',30.0,1.0
2025-04-11 06:00:00,1.0,9.1,110.0,1.0,b'3390654118                      ',b'3e2032',28.0,1.0
2025-04-11 12:00:00,1.0,10.2,110.9,1.0,b'3390747342                      ',b'3e2032',28.0,1.0
2025-04-11 18:00:00,1.0,11.2,111.8,1.0,b'3390837335                      ',b'3e2032',28.0,1.0
2025-04-12 06:00:00,1.0,13.3,113.6,1.0,b'3390987372                      ',b'3e2032',28.0,1.0
2025-04-13 06:00:00,1.0,17.4,117.4,1.0,b'3391804600                      ',b'3e2032',29.0,1.0
2025-04-13 12:00:00,1.0,18.3,118.4,1.0,b'3391881038                      ',b'3e2032',28.0,1.0
2025-04-14 00:00:00,1.0,20.3,120.4,1.0,b'3392107574                      ',b'3e2032',26.0,1.0
2025-04-14 12:00:00,1.0,22.3,122.3,1.0,b'3392262971                      ',b'3e2032',25.0,1.0
2025-04-15 00:00:00,1.0,24.9,122.8,1.0,b'3392685997                      ',b'3e2032',26.0,1.0
2025-04-15 06:00:00,1.0,26.3,123.0,1.0,b'3392727217                      ',b'3e2032',26.0,1.0
2025-04-20 18:00:00,1.0,30.5,125.3,1.0,b'3394785826                      ',b'3e2032',15.0,1.0
2025-04-21 06:00:00,1.0,32.9,125.2,1.0,b'3394979157                      ',b'3e2032',15.0,1.0
2025-04-21 18:00:00,1.0,35.4,124.2,1.0,b'3395354980                      ',b'3e2032',11.0,1.0
2025-04-23 00:00:00,1.0,39.7,121.1,1.0,b'3395872259                      ',b'3e2032',10.0,1.0
2025-04-27 00:00:00,1.0,34.0,124.3,1.0,b'3397361823                      ',b'3e2032',12.0,1.0
2025-04-27 12:00:00,1.0,31.7,125.5,1.0,b'3397482565                      ',b'3e2032',14.0,1.0
2025-04-28 18:00:00,1.0,26.0,123.1,1.0,b'3398290280                      ',b'3e2032',20.0,1.0
2025-04-29 00:00:00,1.0,25.0,122.8,1.0,b'3398387353                      ',b'3e2032',20.0,1.0
2025-04-29 06:00:00,1.0,23.7,122.6,1.0,b'3398428984                      ',b'3e2032',21.0,1.0
2025-04-29 18:00:00,1.0,21.3,121.8,1.0,b'3398571968                      ',b'3e2032',26.0,1.0
2025-04-30 00:00:00,1.0,20.5,120.6,1.0,b'3398748608                      ',b'3e2032',29.0,1.0
2025-04-30 12:00:00,1.0,18.8,118.8,1.0,b'3398863973                      ',b'3e2032',28.0,1.0
