TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH_QC,TEMP,TEMP_QC
2025-04-15 16:28:00,1.0,24.2267,-77.59455,1.0,b'3392881610                      ',b'2sjcprk',7.0,0.0,1.0
2025-04-15 16:30:00,1.0,24.2267,-77.59455,1.0,b'3392881611                      ',b'2sjcprk',7.0,0.0,1.0
